Bag      : rosbag_LintasanB_Run5_20260611_114634
GPS RMSE : 1.2632 m

   Q_pos    Q_vel    Q_yaw         RMSE
========================================
   1e-03    1e-03    1e-07       0.9690
   1e-03    1e-03    5e-07       0.9690
   1e-03    1e-03    1e-06       0.9690
   1e-03    5e-04    1e-07       0.9766
   1e-03    5e-04    5e-07       0.9766
   1e-03    5e-04    1e-06       0.9766
   5e-04    5e-03    1e-07       0.9768
   5e-04    5e-03    5e-07       0.9768
   5e-04    5e-03    1e-06       0.9768
   1e-03    5e-03    1e-07       0.9844
   1e-03    5e-03    5e-07       0.9844
   1e-03    5e-03    1e-06       0.9845
   5e-04    1e-03    5e-07       0.9984
   5e-04    1e-03    1e-06       0.9985
   5e-04    1e-03    1e-07       0.9985
   5e-03    5e-04    1e-07       1.0149
   5e-03    5e-04    5e-07       1.0149
   5e-03    5e-04    1e-06       1.0149
   5e-03    1e-03    1e-07       1.0177
   5e-03    1e-03    5e-07       1.0177
   5e-03    1e-03    1e-06       1.0177
   5e-03    5e-03    1e-07       1.0366
   5e-03    5e-03    5e-07       1.0366
   5e-03    5e-03    1e-06       1.0366
   5e-04    5e-04    5e-07       1.0418
   5e-04    5e-04    1e-06       1.0418
   5e-04    5e-04    1e-07       1.0418

Best:
  Q    = [0.001, 0.001, 0.001, 0.001, 1e-07, 1e-07]
  RMSE = 0.9690 m
