Bag      : rosbag_LintasanA_Run2_20260611_064140
GPS RMSE : 1.2391 m

   Q_pos    Q_vel    Q_yaw         RMSE
========================================
   5e-04    1e-03    5e-07       0.8735
   5e-04    1e-03    1e-07       0.8735
   5e-04    1e-03    1e-06       0.8736
   1e-04    1e-03    5e-07       0.8919
   1e-04    1e-03    1e-06       0.8920
   1e-04    1e-03    1e-07       0.8921
   5e-05    1e-03    5e-07       0.8968
   5e-05    1e-03    1e-06       0.8970
   5e-05    1e-03    1e-07       0.8971
   5e-04    5e-04    5e-07       0.9028
   5e-04    5e-04    1e-07       0.9028
   5e-04    5e-04    1e-06       0.9029
   5e-05    5e-03    5e-07       0.9265
   5e-05    5e-03    1e-06       0.9265
   5e-05    5e-03    1e-07       0.9266
   1e-04    5e-03    5e-07       0.9273
   1e-04    5e-03    1e-06       0.9274
   1e-04    5e-03    1e-07       0.9274
   5e-04    5e-03    5e-07       0.9337
   5e-04    5e-03    1e-06       0.9337
   5e-04    5e-03    1e-07       0.9338
   1e-04    5e-04    5e-07       1.0114
   1e-04    5e-04    1e-06       1.0116
   1e-04    5e-04    1e-07       1.0119
   5e-05    5e-04    5e-07       1.0403
   5e-05    5e-04    1e-06       1.0404
   5e-05    5e-04    1e-07       1.0409

Best:
  Q    = [0.0005, 0.0005, 0.001, 0.001, 5e-07, 5e-07]
  RMSE = 0.8735 m
