Bag      : rosbag_LintasanA_Run3_20260611_064938
GPS RMSE : 1.3388 m

   Q_pos    Q_vel    Q_yaw         RMSE
========================================
   1e-03    1e-03    5e-07       1.0816
   1e-03    1e-03    1e-07       1.0816
   1e-03    1e-03    1e-06       1.0817
   5e-04    1e-03    5e-07       1.0901
   5e-04    1e-03    1e-07       1.0902
   5e-04    1e-03    1e-06       1.0903
   1e-03    5e-04    5e-07       1.0935
   1e-03    5e-04    1e-07       1.0935
   1e-03    5e-04    1e-06       1.0936
   5e-04    5e-03    5e-07       1.1033
   5e-04    5e-03    1e-06       1.1033
   5e-04    5e-03    1e-07       1.1034
   1e-03    5e-03    5e-07       1.1085
   1e-03    5e-03    1e-06       1.1085
   1e-03    5e-03    1e-07       1.1086
   5e-03    5e-04    1e-07       1.1141
   5e-03    5e-04    5e-07       1.1141
   5e-03    5e-04    1e-06       1.1141
   5e-03    1e-03    1e-07       1.1177
   5e-03    1e-03    5e-07       1.1177
   5e-03    1e-03    1e-06       1.1177
   5e-04    5e-04    5e-07       1.1318
   5e-04    5e-04    1e-06       1.1319
   5e-04    5e-04    1e-07       1.1319
   5e-03    5e-03    1e-07       1.1421
   5e-03    5e-03    5e-07       1.1421
   5e-03    5e-03    1e-06       1.1421

Best:
  Q    = [0.001, 0.001, 0.001, 0.001, 5e-07, 5e-07]
  RMSE = 1.0816 m
