Bag      : rosbag_LintasanA_Run5_20260611_103326
GPS RMSE : 1.7230 m

   Q_pos    Q_vel    Q_yaw         RMSE
========================================
   1e-03    1e-03    5e-07       1.4692
   1e-03    1e-03    1e-06       1.4692
   1e-03    1e-03    1e-07       1.4692
   1e-03    5e-04    5e-07       1.4723
   1e-03    5e-04    1e-07       1.4723
   1e-03    5e-04    1e-06       1.4723
   5e-04    1e-03    5e-07       1.4759
   5e-04    1e-03    1e-06       1.4759
   5e-04    1e-03    1e-07       1.4760
   5e-04    5e-03    5e-07       1.4877
   5e-04    5e-03    1e-06       1.4877
   5e-04    5e-03    1e-07       1.4878
   1e-03    5e-03    5e-07       1.4964
   1e-03    5e-03    1e-06       1.4964
   1e-03    5e-03    1e-07       1.4965
   5e-04    5e-04    5e-07       1.5026
   5e-04    5e-04    1e-06       1.5027
   5e-04    5e-04    1e-07       1.5027
   5e-03    5e-04    5e-07       1.5249
   5e-03    5e-04    1e-07       1.5249
   5e-03    5e-04    1e-06       1.5249
   5e-03    1e-03    5e-07       1.5274
   5e-03    1e-03    1e-07       1.5274
   5e-03    1e-03    1e-06       1.5274
   5e-03    5e-03    5e-07       1.5445
   5e-03    5e-03    1e-06       1.5445
   5e-03    5e-03    1e-07       1.5445

Best:
  Q    = [0.001, 0.001, 0.001, 0.001, 5e-07, 5e-07]
  RMSE = 1.4692 m
