Bag      : rosbag_LintasanB_Run1_20260611_104928
GPS RMSE : 1.1695 m

   Q_pos    Q_vel    Q_yaw         RMSE
========================================
   1e-03    1e-03    5e-07       0.8157
   1e-03    1e-03    1e-07       0.8157
   1e-03    1e-03    1e-06       0.8157
   1e-03    5e-04    5e-07       0.8235
   1e-03    5e-04    1e-07       0.8235
   1e-03    5e-04    1e-06       0.8235
   5e-04    5e-03    5e-07       0.8369
   5e-04    5e-03    1e-06       0.8369
   5e-04    5e-03    1e-07       0.8369
   5e-04    1e-03    5e-07       0.8407
   5e-04    1e-03    1e-06       0.8408
   5e-04    1e-03    1e-07       0.8408
   1e-03    5e-03    5e-07       0.8464
   1e-03    5e-03    1e-07       0.8465
   1e-03    5e-03    1e-06       0.8465
   5e-03    5e-04    1e-07       0.8767
   5e-03    5e-04    5e-07       0.8767
   5e-03    5e-04    1e-06       0.8767
   5e-03    1e-03    1e-07       0.8807
   5e-03    1e-03    5e-07       0.8807
   5e-03    1e-03    1e-06       0.8807
   5e-04    5e-04    5e-07       0.8892
   5e-04    5e-04    1e-06       0.8892
   5e-04    5e-04    1e-07       0.8893
   5e-03    5e-03    1e-07       0.9070
   5e-03    5e-03    5e-07       0.9070
   5e-03    5e-03    1e-06       0.9070

Best:
  Q    = [0.001, 0.001, 0.001, 0.001, 5e-07, 5e-07]
  RMSE = 0.8157 m
