Bag      : rosbag_LintasanB_Run3_20260611_110914
GPS RMSE : 1.2675 m

   Q_pos    Q_vel    Q_yaw         RMSE
========================================
   1e-03    5e-04    1e-07       0.9667
   1e-03    5e-04    5e-07       0.9668
   1e-03    5e-04    1e-06       0.9668
   1e-03    1e-03    1e-07       0.9677
   1e-03    1e-03    5e-07       0.9679
   1e-03    1e-03    1e-06       0.9680
   5e-04    1e-03    1e-07       0.9750
   5e-04    1e-03    5e-07       0.9752
   5e-04    1e-03    1e-06       0.9753
   5e-04    5e-04    1e-07       0.9972
   5e-04    5e-04    5e-07       0.9973
   5e-04    5e-04    1e-06       0.9974
   5e-04    5e-03    1e-07       0.9990
   5e-04    5e-03    5e-07       0.9993
   5e-04    5e-03    1e-06       0.9994
   1e-03    5e-03    1e-07       1.0076
   1e-03    5e-03    5e-07       1.0078
   1e-03    5e-03    1e-06       1.0079
   5e-03    5e-04    5e-07       1.0273
   5e-03    5e-04    1e-07       1.0273
   5e-03    5e-04    1e-06       1.0273
   5e-03    1e-03    1e-07       1.0324
   5e-03    1e-03    5e-07       1.0324
   5e-03    1e-03    1e-06       1.0324
   5e-03    5e-03    1e-07       1.0581
   5e-03    5e-03    5e-07       1.0582
   5e-03    5e-03    1e-06       1.0582

Best:
  Q    = [0.001, 0.001, 0.0005, 0.0005, 1e-07, 1e-07]
  RMSE = 0.9667 m
