Bag      : rosbag_LintasanB_Run4_20260611_113829
GPS RMSE : 1.1999 m

   Q_pos    Q_vel    Q_yaw         RMSE
========================================
   5e-04    5e-03    1e-07       0.8783
   5e-04    5e-03    5e-07       0.8784
   5e-04    5e-03    1e-06       0.8785
   1e-03    1e-03    1e-07       0.8848
   1e-03    1e-03    5e-07       0.8849
   1e-03    1e-03    1e-06       0.8849
   1e-03    5e-03    1e-07       0.8863
   1e-03    5e-03    5e-07       0.8864
   1e-03    5e-03    1e-06       0.8865
   1e-03    5e-04    1e-07       0.9014
   1e-03    5e-04    5e-07       0.9015
   1e-03    5e-04    1e-06       0.9015
   5e-03    5e-04    1e-07       0.9208
   5e-03    5e-04    5e-07       0.9209
   5e-03    5e-04    1e-06       0.9209
   5e-03    1e-03    1e-07       0.9238
   5e-03    1e-03    5e-07       0.9238
   5e-03    1e-03    1e-06       0.9238
   5e-04    1e-03    1e-07       0.9318
   5e-04    1e-03    5e-07       0.9319
   5e-04    1e-03    1e-06       0.9320
   5e-03    5e-03    1e-07       0.9446
   5e-03    5e-03    5e-07       0.9446
   5e-03    5e-03    1e-06       0.9446
   5e-04    5e-04    1e-07       0.9986
   5e-04    5e-04    5e-07       0.9987
   5e-04    5e-04    1e-06       0.9987

Best:
  Q    = [0.0005, 0.0005, 0.005, 0.005, 1e-07, 1e-07]
  RMSE = 0.8783 m
