Bag      : rosbag_LintasanA_Run5_20260611_103922
GPS RMSE : 1.6953 m

   Q_pos    Q_vel    Q_yaw         RMSE
========================================
   1e-03    1e-03    5e-07       1.4575
   1e-03    1e-03    1e-06       1.4575
   1e-03    1e-03    1e-07       1.4576
   1e-03    5e-04    5e-07       1.4614
   1e-03    5e-04    1e-06       1.4614
   1e-03    5e-04    1e-07       1.4615
   5e-04    5e-03    1e-06       1.4712
   5e-04    5e-03    5e-07       1.4712
   5e-04    5e-03    1e-07       1.4714
   5e-04    1e-03    5e-07       1.4738
   5e-04    1e-03    1e-06       1.4738
   5e-04    1e-03    1e-07       1.4740
   1e-03    5e-03    1e-06       1.4770
   1e-03    5e-03    5e-07       1.4770
   1e-03    5e-03    1e-07       1.4772
   5e-03    5e-04    5e-07       1.4964
   5e-03    5e-04    1e-06       1.4964
   5e-03    5e-04    1e-07       1.4964
   5e-03    1e-03    5e-07       1.4990
   5e-03    1e-03    1e-06       1.4990
   5e-03    1e-03    1e-07       1.4990
   5e-04    5e-04    5e-07       1.5033
   5e-04    5e-04    1e-06       1.5033
   5e-04    5e-04    1e-07       1.5035
   5e-03    5e-03    5e-07       1.5158
   5e-03    5e-03    1e-06       1.5158
   5e-03    5e-03    1e-07       1.5158

Best:
  Q    = [0.001, 0.001, 0.001, 0.001, 5e-07, 5e-07]
  RMSE = 1.4575 m
