sample,timestamp_s,lintasan,run_ke,gps_x,gps_y,ekf_x,ekf_y,ekf_vx,ekf_vy,ekf_yaw_deg,ekf_yaw_rate,imu_yaw_deg,imu_yaw_rate_rads,gt_x,gt_y,gt_yaw_deg,error_ekf_m,error_gps_m,error_ekf_x,error_ekf_y,error_gps_x,error_gps_y
1,0.000,B,2,3.353143,-26.006326,3.353143,-26.006326,0.000000,0.000000,-17.9604,0.000000,-17.6790,0.180899,3.476194,-26.047133,-17.6364,0.129640,0.129640,-0.123051,0.040807,-0.123051,0.040807
2,0.029,B,2,4.308845,-26.410367,3.353143,-26.006326,0.000000,0.000000,-17.0606,0.168788,-16.8972,0.097806,3.597995,-26.087909,-16.9882,0.258085,0.780569,-0.244852,0.081583,0.710850,-0.322458
3,0.055,B,2,4.638494,-26.694918,4.169004,-26.351184,0.052421,-0.004973,-16.4423,0.120195,-16.0612,0.167265,3.745734,-26.140471,-16.2155,0.472819,1.050920,0.423270,-0.210713,0.892761,-0.554447
4,0.098,B,2,3.719209,-27.709608,4.421206,-26.533662,0.227720,-0.068158,-15.3660,0.149203,-15.3083,0.174846,3.884173,-26.195902,-15.3486,0.634418,1.522669,0.537033,-0.337760,-0.164964,-1.513706
5,0.231,B,2,4.173782,-27.740067,4.130229,-27.068919,0.036785,-0.712917,-14.4726,0.137803,-14.4653,0.095285,4.016111,-26.253013,-14.4869,0.823848,1.495390,0.114118,-0.815906,0.157671,-1.487054
6,0.359,B,2,4.220532,-27.181779,4.136324,-27.423386,0.164281,-1.016581,-14.0349,0.096490,-14.0199,0.144727,4.151356,-26.307246,-14.0531,1.116241,0.877264,-0.015032,-1.116139,0.069177,-0.874533
7,0.519,B,2,4.346422,-27.579757,4.164236,-27.419024,0.159576,-0.762266,-12.7794,0.246946,-12.7296,0.243395,4.291839,-26.363099,-12.7855,1.063607,1.217882,-0.127604,-1.055925,0.054583,-1.216658
8,0.675,B,2,4.518456,-27.525941,4.240697,-27.561101,0.272494,-0.753885,-11.8595,0.118129,-11.8924,0.053363,4.442223,-26.413938,-11.9050,1.164730,1.114613,-0.201526,-1.147163,0.076233,-1.112003
9,0.837,B,2,4.859700,-26.867814,4.365628,-27.622382,0.388322,-0.626462,-11.2350,0.144826,-11.2347,0.196521,4.601627,-26.465633,-11.2798,1.180578,0.477861,-0.235999,-1.156750,0.258073,-0.402181
10,1.027,B,2,5.174429,-27.444906,4.574965,-27.384382,0.510558,-0.155921,-10.3079,0.178957,-10.2201,0.096322,4.765711,-26.525309,-10.2420,0.879994,1.006334,-0.190746,-0.859073,0.408718,-0.919597
11,1.235,B,2,5.346323,-28.472366,4.851928,-27.431548,0.706560,-0.105216,-9.5880,0.129349,-9.5024,0.162086,4.934421,-26.585109,-9.6518,0.850450,1.931684,-0.082493,-0.846439,0.411902,-1.887257
12,1.408,B,2,5.220597,-27.343238,5.096678,-27.824781,0.904737,-0.441814,-8.8398,0.114253,-8.8769,0.105823,5.103340,-26.647011,-8.9011,1.177789,0.706033,-0.006662,-1.177770,0.117257,-0.696228
13,1.560,B,2,5.125410,-27.766893,5.217869,-27.714868,0.826346,-0.232855,-8.1553,0.117130,-8.1989,0.110355,5.273114,-26.705007,-8.2242,1.011371,1.072110,-0.055245,-1.009861,-0.147705,-1.061886
14,1.741,B,2,6.146432,-27.855362,5.263359,-27.765058,0.722851,-0.230881,-7.4888,0.115771,-7.5319,0.112968,5.444521,-26.758565,-7.5581,1.022667,1.302169,-0.181161,-1.006493,0.701911,-1.096797
15,1.899,B,2,5.542326,-28.085274,5.608594,-27.823873,0.888254,-0.190404,-6.8230,0.110972,-6.8915,0.108308,5.619228,-26.809846,-6.9165,1.014083,1.277744,-0.010633,-1.014027,-0.076902,-1.275428
16,2.066,B,2,5.776866,-27.630278,5.668311,-27.929128,0.797831,-0.236393,-6.2494,0.103455,-6.2882,0.102235,5.799366,-26.862840,-6.3115,1.074312,0.767768,-0.131055,-1.066288,-0.022500,-0.767438
17,2.240,B,2,6.161007,-27.372663,5.758353,-27.869328,0.748912,-0.149879,-5.7896,0.098216,-5.7292,0.093213,5.986858,-26.920008,-5.7507,0.976434,0.484999,-0.228505,-0.949320,0.174149,-0.452654
18,2.436,B,2,7.002285,-28.108696,5.950231,-27.759587,0.723425,-0.030301,-5.1484,0.090973,-5.2079,0.088722,6.182272,-26.980339,-5.2282,0.813062,1.394851,-0.232042,-0.779248,0.820012,-1.128356
19,2.619,B,2,6.501896,-27.279625,6.304914,-27.862119,0.849806,-0.063056,-4.6555,0.087019,-4.7089,0.085852,6.384278,-27.040294,-4.7286,0.825649,0.266671,-0.079364,-0.821826,0.117617,-0.239332
20,2.802,B,2,6.320085,-28.435521,6.436915,-27.721701,0.787744,0.041948,-4.1598,0.084850,-4.2205,0.083679,6.590168,-27.096479,-4.2399,0.643731,1.366008,-0.153253,-0.625222,-0.270082,-1.339042
21,2.965,B,2,6.779594,-28.208001,6.483681,-27.904406,0.707645,-0.071080,-3.6917,0.083477,-3.7428,0.082997,6.797323,-27.148299,-3.7616,0.818577,1.059850,-0.313643,-0.756107,-0.017729,-1.059702
22,3.147,B,2,7.403206,-28.259466,6.610636,-27.987313,0.699475,-0.103743,-3.3309,0.079842,-3.2853,0.076639,7.004412,-27.198211,-3.3031,0.881896,1.133711,-0.393776,-0.789102,0.398794,-1.061255
23,3.335,B,2,7.729594,-27.702362,6.877596,-28.067851,0.723802,-0.116101,-2.8232,0.072752,-2.8589,0.070288,7.211544,-27.249612,-2.8752,0.883763,0.688010,-0.333949,-0.818239,0.518050,-0.452750
24,3.513,B,2,7.631139,-28.339015,7.131895,-27.993874,0.768234,-0.052012,-2.5091,0.067684,-2.4681,0.062779,7.420215,-27.304297,-2.4831,0.747425,1.055998,-0.288319,-0.689577,0.210924,-1.034718
25,3.681,B,2,8.062963,-28.508515,7.331252,-28.082399,0.738792,-0.080142,-2.0841,0.061661,-2.1059,0.061668,7.633017,-27.360947,-2.1200,0.782020,1.225466,-0.301766,-0.721452,0.429946,-1.147568
26,3.858,B,2,8.074048,-27.242830,7.568000,-28.188698,0.749604,-0.111677,-1.7438,0.060414,-1.7572,0.060253,7.852370,-27.416202,-1.7711,0.823175,0.281423,-0.284370,-0.772497,0.221678,0.173371
27,4.046,B,2,8.492322,-28.708738,7.751976,-27.990468,0.721839,-0.001721,-1.3852,0.060774,-1.4105,0.060993,8.079081,-27.467459,-1.4244,0.616876,1.308259,-0.327105,-0.523009,0.413241,-1.241279
28,4.214,B,2,7.627762,-28.678015,7.983994,-28.149381,0.727970,-0.065799,-1.0508,0.059951,-1.0670,0.059068,8.311941,-27.514818,-1.0805,0.714296,1.349492,-0.327947,-0.634563,-0.684179,-1.163197
29,4.364,B,2,7.664099,-28.180187,7.977058,-28.271317,0.628256,-0.109635,-0.7278,0.056872,-0.7385,0.055732,8.548426,-27.560975,-0.7512,0.911617,1.079563,-0.571368,-0.710342,-0.884327,-0.619212
