sample,timestamp_s,lintasan,run_ke,gps_x,gps_y,ekf_x,ekf_y,ekf_vx,ekf_vy,ekf_yaw_deg,ekf_yaw_rate,imu_yaw_deg,imu_yaw_rate_rads,gt_x,gt_y,gt_yaw_deg,error_ekf_m,error_gps_m,error_ekf_x,error_ekf_y,error_gps_x,error_gps_y
1,0.000,A,5,2.662428,5.721573,1.731265,6.702713,0.318341,-0.089796,-2.0152,-0.007018,-2.0026,-0.006924,2.270301,6.913963,-2.0026,0.578953,1.255212,-0.539036,-0.211250,0.392127,-1.192390
2,0.151,A,5,2.934793,7.785351,1.761551,6.692999,0.287755,-0.081169,-2.0611,-0.008639,-2.0480,-0.009419,2.414697,6.909556,-2.0436,0.688111,1.018586,-0.653146,-0.216557,0.520096,0.875795
3,0.307,A,5,2.981154,7.487388,1.958221,6.848392,0.316935,-0.023741,-2.0894,-0.009313,-2.1016,-0.007275,2.599660,6.902703,-2.0977,0.643734,0.698136,-0.641439,-0.054311,0.381494,0.584685
4,0.463,A,5,2.981039,7.747573,2.147031,6.938033,0.323196,0.007430,-2.1321,-0.005611,-2.1395,-0.004161,2.786932,6.898537,-2.1373,0.641119,0.870941,-0.639901,0.039496,0.194106,0.849036
5,0.610,A,5,3.773605,7.368929,2.302605,7.059819,0.328507,0.044429,-2.1358,-0.001223,-2.1553,-0.001395,2.974946,6.899167,-2.1548,0.691267,0.926571,-0.672340,0.160652,0.798660,0.469762
6,0.775,A,5,3.130551,7.235791,2.546632,7.108351,0.369525,0.057317,-2.1332,-0.000082,-2.1578,0.001227,3.163610,6.902953,-2.1577,0.650270,0.334475,-0.616978,0.205397,-0.033059,0.332837
7,0.951,A,5,3.964421,7.090096,2.675358,7.132282,0.352754,0.057280,-2.1400,-0.001406,-2.1646,-0.003204,3.354081,6.905904,-2.1635,0.715480,0.637527,-0.678723,0.226377,0.610340,0.184192
8,1.125,A,5,3.717619,6.628221,2.902465,7.130166,0.375911,0.051890,-2.1683,-0.004772,-2.1896,-0.004397,3.548698,6.904666,-2.1869,0.684446,0.323970,-0.646232,0.225500,0.168921,-0.276446
9,1.281,A,5,4.704249,6.293082,3.053040,7.058372,0.384273,0.026531,-2.2083,-0.006347,-2.2302,-0.008146,3.750138,6.899329,-2.2268,0.715011,1.130426,-0.697099,0.159043,0.954111,-0.606247
10,1.440,A,5,4.643182,6.480509,3.334473,6.945458,0.422984,-0.008045,-2.2676,-0.007095,-2.2678,-0.005660,3.959888,6.893169,-2.2654,0.627597,0.798234,-0.625415,0.052289,0.683294,-0.412659
11,1.608,A,5,4.422969,7.039384,3.574532,6.874423,0.430543,-0.024724,-2.3008,-0.001740,-2.2841,-0.001809,4.177356,6.889892,-2.2838,0.603023,0.287530,-0.602824,-0.015470,0.245613,0.149491
12,1.766,A,5,4.710022,7.116012,3.743361,6.895178,0.426552,-0.013653,-2.2920,0.001726,-2.2762,0.001920,4.400145,6.890788,-2.2774,0.656799,0.383079,-0.656784,0.004390,0.309877,0.225224
13,1.915,A,5,5.181539,7.177524,3.929422,6.925384,0.428025,-0.000974,-2.2700,0.002833,-2.2588,0.003231,4.625331,6.893681,-2.2601,0.696631,0.624447,-0.695909,0.031702,0.556208,0.283843
14,2.061,A,5,4.768312,7.494929,4.158244,6.961481,0.441877,0.012347,-2.2525,0.000562,-2.2504,0.000842,4.850831,6.894911,-2.2504,0.695780,0.605666,-0.692588,0.066569,-0.082520,0.600018
15,2.209,A,5,4.994962,6.852758,4.292108,7.040945,0.425496,0.035746,-2.2484,-0.002411,-2.2601,-0.003403,5.075992,6.892303,-2.2587,0.797853,0.090165,-0.783884,0.148642,-0.081030,-0.039545
