sample,timestamp_s,lintasan,run_ke,gps_x,gps_y,ekf_x,ekf_y,ekf_vx,ekf_vy,ekf_yaw_deg,ekf_yaw_rate,imu_yaw_deg,imu_yaw_rate_rads,gt_x,gt_y,gt_yaw_deg,error_ekf_m,error_gps_m,error_ekf_x,error_ekf_y,error_gps_x,error_gps_y
1,0.000,B,1,-0.597990,-24.131368,-0.881994,-24.947328,0.035170,0.016934,-0.8786,-0.003351,-0.8706,-0.003695,-0.394503,-25.374067,-0.8706,0.647884,1.259249,-0.487490,0.426740,-0.203486,1.242699
2,0.140,B,1,-1.197381,-24.665047,-0.879243,-24.946055,0.032439,0.015619,-0.8972,-0.003987,-0.8925,-0.004418,-0.317916,-25.372650,-0.8904,0.705033,1.128787,-0.561328,0.426594,-0.879466,0.707602
3,0.336,B,1,-0.585700,-24.583709,-0.923544,-24.902534,0.015126,0.026296,-0.9246,-0.004954,-0.9207,-0.003662,-0.220000,-25.370932,-0.9183,0.845205,0.868019,-0.703544,0.468398,-0.365700,0.787223
4,0.504,B,1,-0.224842,-25.334691,-0.872199,-24.853245,0.029012,0.038892,-0.9459,-0.005319,-0.9521,-0.006540,-0.120090,-25.369267,-0.9495,0.912111,0.110311,-0.752109,0.516021,-0.104752,0.034576
5,0.676,B,1,-0.308545,-24.580148,-0.771959,-24.920895,0.054638,0.013532,-0.9907,-0.005983,-0.9860,-0.007042,-0.017266,-25.367667,-0.9832,0.877022,0.839660,-0.754694,0.446772,-0.291279,0.787519
6,0.850,B,1,0.127013,-25.588496,-0.697676,-24.868840,0.069650,0.027611,-1.0293,-0.007318,-1.0218,-0.007370,0.090495,-25.366161,-1.0189,0.931956,0.225313,-0.788171,0.497322,0.036518,-0.222334
7,1.022,B,1,0.008980,-25.048907,-0.567503,-24.973712,0.099692,-0.006103,-1.0704,-0.005853,-1.0584,-0.005131,0.205405,-25.364775,-1.0554,0.866208,0.371961,-0.772908,0.391063,-0.196425,0.315868
8,1.171,B,1,-0.342745,-24.621663,-0.471761,-24.985730,0.115649,-0.008434,-1.1068,-0.006270,-1.0954,-0.006748,0.328758,-25.363525,-1.0924,0.885189,1.000637,-0.800518,0.377795,-0.671503,0.741862
9,1.333,B,1,0.432285,-25.282282,-0.441391,-24.932324,0.109973,0.008552,-1.1445,-0.007444,-1.1327,-0.006623,0.460288,-25.362432,-1.1297,0.999008,0.084902,-0.901679,0.430108,-0.028003,0.080151
10,1.515,B,1,0.524966,-26.191970,-0.300825,-24.984001,0.138235,-0.007069,-1.1828,-0.006247,-1.1709,-0.005995,0.598310,-25.361510,-1.1678,0.975170,0.833692,-0.899135,0.377509,-0.073344,-0.830460
11,1.705,B,1,0.518096,-25.694896,-0.164458,-25.165081,0.162111,-0.058771,-1.2270,-0.007424,-1.2103,-0.007804,0.740523,-25.360746,-1.2071,0.925891,0.401410,-0.904981,0.195665,-0.222427,-0.334150
12,1.876,B,1,0.570656,-24.063799,-0.047231,-25.250088,0.176923,-0.075854,-1.2704,-0.007700,-1.2511,-0.008272,0.885033,-25.360088,-1.2478,0.938731,1.333866,-0.932264,0.110000,-0.314377,1.296289
13,2.027,B,1,1.245662,-25.212065,0.057995,-25.080405,0.189910,-0.016273,-1.2978,-0.008034,-1.2932,-0.009138,1.031095,-25.359472,-1.2898,1.012325,0.260322,-0.973100,0.279067,0.214567,0.147407
14,2.188,B,1,1.751630,-24.935721,0.248872,-25.101549,0.222660,-0.019391,-1.3433,-0.008663,-1.3360,-0.008127,1.179381,-25.358854,-1.3326,0.965429,0.711695,-0.930509,0.257305,0.572249,0.423132
15,2.368,B,1,1.231725,-24.075061,0.499051,-25.079438,0.263390,-0.008521,-1.3937,-0.007944,-1.3787,-0.008192,1.331714,-25.358244,-1.3753,0.878101,1.287073,-0.832663,0.278806,-0.099989,1.283183
16,2.537,B,1,1.572006,-25.287366,0.634159,-24.930345,0.269567,0.037337,-1.4249,-0.007423,-1.4205,-0.006548,1.490256,-25.357711,-1.4172,0.956841,0.107849,-0.856097,0.427366,0.081750,0.070345
17,2.685,B,1,0.661219,-26.589557,0.800649,-24.980896,0.285409,0.018847,-1.4707,-0.007624,-1.4611,-0.006771,1.656473,-25.357352,-1.4579,0.934962,1.583938,-0.855824,0.376457,-0.995254,-1.232204
18,2.861,B,1,1.903366,-25.459553,0.807227,-25.220573,0.253358,-0.054069,-1.5297,-0.006701,-1.5006,-0.005935,1.830447,-25.357235,-1.4975,1.032306,0.125642,-1.023220,0.136663,0.072919,-0.102318
19,3.039,B,1,1.898651,-25.639429,0.995369,-25.262191,0.277592,-0.058343,-1.5705,-0.007828,-1.5389,-0.006804,2.010857,-25.357344,-1.5359,1.019936,0.303582,-1.015488,0.095153,-0.112206,-0.282085
20,3.203,B,1,1.335988,-24.792525,1.156920,-25.324958,0.291126,-0.068459,-1.6086,-0.006191,-1.5763,-0.007003,2.195599,-25.357570,-1.5733,1.039192,1.028692,-1.038680,0.032612,-0.859611,0.565045
21,3.355,B,1,2.165429,-25.358689,1.211474,-25.252724,0.270494,-0.038233,-1.6340,-0.006928,-1.6125,-0.005720,2.382740,-25.357757,-1.6097,1.175966,0.217313,-1.171266,0.105033,-0.217311,-0.000932
22,3.508,B,1,2.571340,-25.347915,1.379899,-25.272993,0.286659,-0.038212,-1.6675,-0.006612,-1.6475,-0.005621,2.571331,-25.357792,-1.6448,1.194447,0.009877,-1.191433,0.084799,0.000008,0.009877
23,3.667,B,1,2.960551,-25.171928,1.585359,-25.288686,0.311699,-0.036538,-1.6984,-0.006013,-1.6809,-0.004773,2.761778,-25.357667,-1.6783,1.178440,0.272047,-1.176420,0.068981,0.198773,0.185739
24,3.819,B,1,3.263860,-24.847002,1.820659,-25.275663,0.342207,-0.026342,-1.7237,-0.005459,-1.7124,-0.005182,2.955635,-25.357488,-1.7099,1.137922,0.596321,-1.134977,0.081825,0.308225,0.510486
25,3.973,B,1,2.986464,-23.575497,2.069063,-25.215162,0.372412,-0.003274,-1.7446,-0.005517,-1.7416,-0.003396,3.154896,-25.357412,-1.7394,1.095111,1.789858,-1.085833,0.142251,-0.168431,1.781915
26,4.142,B,1,2.991938,-25.357767,2.241905,-24.971609,0.375111,0.070323,-1.7445,-0.004327,-1.7682,-0.003911,3.361053,-25.357551,-1.7662,1.183826,0.369115,-1.119148,0.385942,-0.369115,-0.000217
27,4.318,B,1,3.526262,-24.894014,2.390177,-25.023663,0.372571,0.047463,-1.7772,-0.004593,-1.7916,-0.002706,3.574394,-25.357904,-1.7899,1.230483,0.466380,-1.184217,0.334242,-0.048132,0.463890
28,4.494,B,1,4.221561,-25.172401,2.595765,-25.000872,0.386656,0.049999,-1.7955,-0.003152,-1.8115,-0.002105,3.793856,-25.358366,-1.8101,1.250289,0.466384,-1.198090,0.357493,0.427705,0.185964
29,4.640,B,1,3.947889,-25.032937,2.875873,-25.022893,0.421330,0.039665,-1.8174,-0.003210,-1.8278,-0.003328,4.017501,-25.358782,-1.8266,1.190015,0.333198,-1.141628,0.335889,-0.069612,0.325845
30,4.791,B,1,4.427385,-24.817869,3.076542,-25.021895,0.428079,0.036768,-1.8359,-0.002017,-1.8408,-0.002009,4.243385,-25.359041,-1.8399,1.214574,0.571597,-1.166843,0.337146,0.184000,0.541172
31,4.950,B,1,4.492505,-24.228464,3.319489,-24.989229,0.446185,0.043954,-1.8443,-0.001833,-1.8511,-0.001460,4.470408,-25.359123,-1.8504,1.208899,1.130875,-1.150920,0.369894,0.022097,1.130659
32,5.101,B,1,4.299244,-24.322427,3.537722,-24.872743,0.453991,0.074752,-1.8395,-0.001309,-1.8589,-0.000371,4.698732,-25.359093,-1.8584,1.258762,1.110976,-1.161010,0.486350,-0.399488,1.036666
33,5.276,B,1,4.142847,-24.766056,3.697088,-24.784446,0.443186,0.092801,-1.8376,-0.000950,-1.8642,-0.000499,4.929649,-25.359057,-1.8638,1.359921,0.985245,-1.232561,0.574611,-0.786802,0.593001
34,5.438,B,1,4.978850,-24.690813,3.804787,-24.774479,0.420321,0.085300,-1.8439,-0.000937,-1.8661,0.002513,5.164971,-25.359099,-1.8661,1.480500,0.693720,-1.360184,0.584620,-0.186121,0.668286
35,5.608,B,1,6.035041,-24.375546,4.020707,-24.755112,0.431482,0.082366,-1.8413,0.001283,-1.8639,0.001352,5.406183,-25.359245,-1.8643,1.511463,1.167530,-1.385476,0.604133,0.628858,0.983699
36,5.824,B,1,5.824440,-24.811757,4.363135,-24.691886,0.478154,0.093881,-1.9136,-0.036151,-1.9646,-0.083592,5.653310,-25.358636,-1.9283,1.452277,0.573028,-1.290176,0.666749,0.171130,0.546878
37,5.998,B,1,6.282093,-25.526546,4.627537,-24.702620,0.496687,0.081597,-2.5270,-0.077135,-2.5475,-0.035916,5.895354,-25.354022,-2.5291,1.425371,0.423476,-1.267817,0.651402,0.386739,-0.172525
38,6.149,B,1,5.961258,-25.547457,4.922525,-24.820045,0.522950,0.039862,-2.3512,0.073505,-2.3126,0.059613,6.138820,-25.353140,-2.3416,1.327992,0.263225,-1.216294,0.533095,-0.177562,-0.194317
39,6.310,B,1,6.671236,-25.231056,5.127940,-24.927006,0.519506,0.005584,-2.5809,-0.096131,-2.5969,-0.149373,6.375003,-25.349557,-2.5307,1.316706,0.319055,-1.247063,0.422551,0.296233,0.118500
40,6.464,B,1,6.204034,-24.536173,5.410401,-24.974645,0.537994,-0.005943,-3.1177,-0.042875,-3.0651,-0.001140,6.606031,-25.342833,-3.0633,1.251037,0.901278,-1.195630,0.368187,-0.401997,0.806660
41,6.622,B,1,6.684620,-24.457519,5.567905,-24.912081,0.531337,0.015636,-3.1567,-0.040981,-3.2682,-0.127102,6.837911,-25.338441,-3.2118,1.339664,0.894160,-1.270006,0.426360,-0.153291,0.880922
42,6.780,B,1,7.901245,-24.460364,5.793589,-24.846118,0.518694,0.035888,-3.8993,-0.073902,-3.8822,-0.043036,7.065265,-25.329087,-3.8619,1.360301,1.205630,-1.271676,0.482969,0.835980,0.868723
43,6.965,B,1,7.503605,-25.071845,6.158055,-24.788905,0.560722,0.053347,-4.4127,-0.115363,-4.4200,-0.113903,7.292573,-25.320123,-4.3682,1.252727,0.325846,-1.134518,0.531218,0.211031,0.248277
44,7.140,B,1,8.087797,-24.553346,6.412894,-24.830623,0.566547,0.038583,-4.9078,-0.056419,-4.8684,-0.014475,7.519246,-25.310047,-4.8606,1.205761,0.946492,-1.106351,0.479424,0.568551,0.756701
45,7.312,B,1,7.382830,-24.988316,6.717422,-24.790449,0.585071,0.050865,-5.0678,-0.069537,-5.0681,-0.111713,7.747507,-25.302319,-5.0184,1.150255,0.481235,-1.030085,0.511870,-0.364677,0.314003
46,7.474,B,1,8.150638,-25.565366,6.873109,-24.820610,0.558584,0.038963,-6.0906,-0.197357,-6.0998,-0.167033,7.982788,-25.290854,-6.0218,1.205204,0.321762,-1.109678,0.470244,0.167850,-0.274512
47,7.628,B,1,7.387997,-24.967899,7.117349,-24.934341,0.563070,0.006047,-6.5788,-0.028383,-6.4972,0.013885,8.217119,-25.283566,-6.5036,1.153887,0.887181,-1.099771,0.349226,-0.829122,0.315668
48,7.775,B,1,7.979956,-24.918074,7.211579,-24.945101,0.520958,0.004813,-6.9581,-0.117539,-6.9296,-0.159293,8.450887,-25.275774,-6.8577,1.282665,0.591376,-1.239308,0.330673,-0.470931,0.357700
49,7.933,B,1,8.541921,-23.826235,7.375968,-24.947142,0.504540,0.008110,-7.6553,-0.075146,-7.5859,-0.027226,8.686264,-25.264785,-7.5716,1.348248,1.445774,-1.310296,0.317644,-0.144343,1.438550
50,8.100,B,1,8.814391,-24.837618,7.598399,-24.785732,0.503098,0.060730,-7.9773,-0.102679,-7.9718,-0.121057,8.921823,-25.257482,-7.9162,1.404990,0.433391,-1.323424,0.471750,-0.107433,0.419865
51,8.289,B,1,9.002512,-24.905741,7.818158,-24.794541,0.518654,0.058659,-8.3975,-0.072179,-8.4360,-0.062942,9.161093,-25.250085,-8.4075,1.418095,0.379105,-1.342935,0.455544,-0.158581,0.344343
52,8.478,B,1,8.573076,-24.776311,8.052882,-24.813600,0.511359,0.052192,-8.9175,-0.081551,-8.8808,-0.061387,9.405161,-25.244718,-8.8513,1.419338,0.954867,-1.352279,0.431117,-0.832085,0.468407
53,8.665,B,1,9.524203,-25.545505,8.179882,-24.810945,0.484829,0.051233,-9.3104,-0.070043,-9.2766,-0.068414,9.654995,-25.241274,-9.2451,1.536601,0.331154,-1.475113,0.430330,-0.130792,-0.304231
54,8.828,B,1,9.640105,-25.741465,8.427229,-24.923788,0.500722,0.020915,-9.7066,-0.065207,-9.6573,-0.065193,9.910301,-25.238588,-9.6277,1.516114,0.570868,-1.483072,0.314801,-0.270196,-0.502876
55,8.988,B,1,10.860579,-24.818048,8.655799,-25.052437,0.509971,-0.010353,-10.0814,-0.061703,-10.0140,-0.062047,10.169351,-25.236376,-9.9862,1.524688,0.807957,-1.513552,0.183939,0.691228,0.418328
56,9.158,B,1,9.540178,-24.688160,9.033028,-25.027580,0.555931,0.013301,-10.4068,-0.058290,-10.3508,-0.057518,10.430009,-25.234677,-10.3245,1.412248,1.044260,-1.396981,0.207097,-0.889831,0.546517
57,9.324,B,1,10.895751,-24.735279,9.161597,-24.985492,0.522623,0.029834,-10.7149,-0.054677,-10.6718,-0.053726,10.690689,-25.233920,-10.6466,1.549142,0.539160,-1.529092,0.248428,0.205062,0.498641
58,9.482,B,1,10.719912,-25.615518,9.470356,-24.955088,0.546434,0.048713,-11.0085,-0.053011,-10.9795,-0.050883,10.950974,-25.234505,-10.9554,1.506753,0.445601,-1.480618,0.279417,-0.231062,-0.381013
59,9.655,B,1,11.385268,-26.232256,9.709234,-25.059534,0.552678,0.023476,-11.3143,-0.050197,-11.2735,-0.049946,11.211665,-25.236492,-11.2505,1.512817,1.010784,-1.502431,0.176958,0.173603,-0.995764
60,9.840,B,1,11.020061,-25.414854,10.011704,-25.243353,0.580514,-0.018309,-11.6120,-0.047811,-11.5516,-0.047284,11.474437,-25.239636,-11.5300,1.462738,0.486990,-1.462734,-0.003717,-0.454376,-0.175218
61,10.035,B,1,11.822202,-24.888084,10.216496,-25.282200,0.569787,-0.016836,-11.8697,-0.045206,-11.8120,-0.042727,11.741103,-25.243700,-11.7918,1.525093,0.364746,-1.524607,-0.038500,0.081100,0.355615
62,10.195,B,1,11.783718,-24.374085,10.509546,-25.236513,0.581860,0.013716,-12.0909,-0.041435,-12.0548,-0.039942,12.012684,-25.248758,-12.0360,1.503188,0.904145,-1.503138,0.012245,-0.228966,0.874673
63,10.353,B,1,12.211250,-25.129184,10.754903,-25.118363,0.574650,0.059496,-12.2882,-0.039113,-12.2830,-0.038141,12.288851,-25.255194,-12.2652,1.540039,0.147987,-1.533948,0.136830,-0.077601,0.126009
64,10.507,B,1,12.463476,-25.736543,11.027466,-25.126449,0.582646,0.064768,-12.4978,-0.036779,-12.5002,-0.036949,12.568071,-25.263393,-12.4831,1.546680,0.484572,-1.540605,0.136945,-0.104595,-0.473149
65,10.662,B,1,12.445048,-24.567440,11.297727,-25.223940,0.593793,0.043773,-12.7146,-0.035206,-12.7087,-0.034560,12.848390,-25.273390,-12.6923,1.551450,0.813050,-1.550662,0.049450,-0.403342,0.705950
66,10.818,B,1,12.356031,-24.615893,11.525695,-25.134528,0.580923,0.077488,-12.8903,-0.034336,-12.9086,-0.033774,13.128371,-25.284734,-12.8929,1.609699,1.021694,-1.602675,0.150206,-0.772339,0.668842
67,10.979,B,1,12.602562,-24.585998,11.705855,-25.062413,0.556582,0.099525,-13.0669,-0.032809,-13.0983,-0.033011,13.407610,-25.296755,-13.0835,1.717815,1.073909,-1.701755,0.234342,-0.805049,0.710757
68,11.154,B,1,13.144935,-24.795890,11.894056,-24.994187,0.537682,0.118348,-13.2340,-0.030694,-13.2763,-0.030452,13.686749,-25.309042,-13.2625,1.820133,0.746249,-1.792693,0.314854,-0.541814,0.513152
69,11.358,B,1,13.575608,-25.655001,12.133783,-24.965543,0.538240,0.126678,-13.4022,-0.029041,-13.4427,-0.028366,13.967184,-25.321805,-13.4298,1.867694,0.514151,-1.833401,0.356262,-0.391575,-0.333196
70,11.505,B,1,14.133336,-24.807072,12.402138,-25.068969,0.554963,0.097911,-13.5460,-0.016280,-13.5618,-0.015854,14.249602,-25.334787,-13.5549,1.866490,0.540371,-1.847464,0.265818,-0.116266,0.527715
71,11.664,B,1,14.792683,-24.936056,12.717081,-25.033493,0.573807,0.115812,-13.6286,-0.014930,-13.6471,-0.014080,14.534955,-25.349086,-13.6403,1.845065,0.486845,-1.817874,0.315593,0.257728,0.413030
72,11.819,B,1,15.149042,-25.724037,13.081259,-25.021240,0.607601,0.128571,-13.7058,-0.014134,-13.7311,-0.015129,14.824164,-25.366565,-13.7245,1.776785,0.483045,-1.742905,0.345325,0.324879,-0.357472
73,11.994,B,1,14.849703,-25.072559,13.449520,-25.128315,0.644801,0.105795,-13.8023,-0.012626,-13.8125,-0.012002,15.116223,-25.386595,-13.8062,1.686596,0.411887,-1.666703,0.258280,-0.266520,0.314036
74,12.155,B,1,14.411364,-25.413513,13.721115,-25.125047,0.642455,0.111590,-13.8747,-0.012419,-13.8878,-0.012027,15.409700,-25.407665,-13.8821,1.712072,0.998353,-1.688585,0.282618,-0.998336,-0.005848
75,12.319,B,1,14.872677,-25.283755,13.886675,-25.172641,0.613192,0.095269,-13.9515,-0.012258,-13.9547,-0.011258,15.703329,-25.428459,-13.9497,1.834578,0.843162,-1.816654,0.255818,-0.830652,0.144704
76,12.520,B,1,15.570044,-24.878528,14.080957,-25.193515,0.609890,0.092998,-14.0008,-0.009941,-14.0137,-0.011505,15.996363,-25.448714,-14.0092,1.932332,0.711941,-1.915406,0.255200,-0.426319,0.570186
77,12.697,B,1,16.320674,-25.406521,14.371502,-25.152849,0.600666,0.110889,-14.0601,-0.010247,-14.0677,-0.011071,16.288798,-25.469290,-14.0635,1.943234,0.070399,-1.917296,0.316441,0.031876,0.062769
78,12.859,B,1,16.991639,-24.676296,14.720954,-25.194567,0.629011,0.109095,-14.1229,-0.009978,-14.1203,-0.008753,16.581538,-25.491520,-14.1161,1.884132,0.912563,-1.860584,0.296953,0.410101,0.815224
79,13.021,B,1,16.620793,-26.116643,15.121070,-25.121837,0.660535,0.143959,-14.1595,-0.009693,-14.1725,-0.009695,16.876157,-25.516249,-14.1684,1.798858,0.652445,-1.755087,0.394412,-0.255363,-0.600395
80,13.176,B,1,17.521496,-25.235524,15.409780,-25.272713,0.671504,0.103003,-14.2389,-0.008526,-14.2220,-0.007471,17.174140,-25.543301,-14.2183,1.784989,0.464093,-1.764360,0.270588,0.347356,0.307777
81,13.343,B,1,17.828220,-25.237301,15.789982,-25.273528,0.696993,0.116579,-14.2755,-0.007306,-14.2648,-0.006328,17.476107,-25.571755,-14.2617,1.712296,0.485636,-1.686125,0.298227,0.352113,0.334454
82,13.499,B,1,17.855160,-25.358057,16.161925,-25.273851,0.716874,0.128192,-14.3060,-0.005987,-14.2985,-0.005918,17.781479,-25.600708,-14.2962,1.652208,0.253591,-1.619554,0.326857,0.073681,0.242651
83,13.653,B,1,18.201938,-25.128797,16.484555,-25.291587,0.721325,0.130051,-14.3330,-0.004608,-14.3246,-0.004141,18.088757,-25.629928,-14.3227,1.639494,0.513753,-1.604202,0.338341,0.113181,0.501131
