sample,timestamp_s,lintasan,run_ke,gps_x,gps_y,ekf_x,ekf_y,ekf_vx,ekf_vy,ekf2_x,ekf2_y,ekf_yaw_deg,ekf_yaw_rate,imu_yaw_deg,imu_yaw_rate_rads,gt_x,gt_y,gt_yaw_deg,error_ekf_m,error_ekf2_m,error_gps_m,error_ekf_x,error_ekf_y,error_gps_x,error_gps_y
1,0.000,A,2,2.245511,6.444430,2.080654,6.630290,1.725097,6.783767,0.657056,-0.584759,-2.2354,0.002147,-2.2446,-0.006381,2.168896,6.874545,-2.2314,0.259706,0.452988,0.436886,-0.088242,-0.244255,0.076615,-0.430116
2,0.017,A,2,3.359032,6.402297,2.080654,6.630290,1.748331,6.781223,0.593939,-0.528565,-2.2374,-0.002854,-2.2469,-0.006292,2.309884,6.871468,-2.2469,0.332736,0.568759,1.149275,-0.229231,-0.241178,1.049148,-0.469171
3,0.185,A,2,2.716065,7.212178,2.340102,6.521864,2.016903,6.721060,1.129595,-0.544848,-2.2557,-0.005069,-2.2841,-0.007462,2.487724,6.863431,-2.2841,0.372102,0.491876,0.416851,-0.147622,-0.341567,0.228341,0.348747
4,0.337,A,2,1.854493,7.134649,2.612212,6.585553,2.152695,6.791124,1.111564,0.095859,-2.2717,-0.006050,-2.3181,-0.005447,2.667497,6.856061,-2.3181,0.276100,0.518882,0.859411,-0.055285,-0.270508,-0.813005,0.278587
5,0.487,A,2,3.203239,5.836418,2.591121,6.777936,2.137882,6.841365,0.489759,0.405147,-2.2972,-0.005327,-2.3293,-0.000903,2.849964,6.853986,-2.3293,0.269783,0.712193,1.077148,-0.258842,-0.076050,0.353276,-1.017568
6,0.634,A,2,4.035214,5.693988,2.626676,6.686688,2.324688,6.689652,0.826634,-0.450931,-2.3220,-0.002834,-2.3152,0.003070,3.035995,6.857692,-2.3152,0.443604,0.730886,1.533833,-0.409319,-0.171004,0.999219,-1.163704
7,0.785,A,2,3.688593,6.712441,2.970478,6.353676,2.610785,6.535078,1.286443,-0.894843,-2.3188,0.002766,-2.2942,0.003484,3.226925,6.862799,-2.2942,0.570062,0.697875,0.485536,-0.256447,-0.509123,0.461668,-0.150358
8,0.946,A,2,3.359869,6.040900,3.313104,6.252589,2.806107,6.553477,1.349433,-0.367983,-2.2844,0.001526,-2.2908,-0.000822,3.424126,6.863732,-2.2908,0.621145,0.691524,0.825337,-0.111022,-0.611143,-0.064256,-0.822832
9,1.114,A,2,3.467902,7.049955,3.471683,6.250639,2.923967,6.469527,1.214606,-0.544757,-2.2850,0.000836,-2.3141,-0.005108,3.627894,6.858337,-2.3141,0.627454,0.804169,0.249629,-0.156210,-0.607698,-0.159992,0.191618
10,1.273,A,2,4.407320,6.521041,3.542720,6.323772,3.039359,6.548512,0.985098,0.225318,-2.3005,-0.002925,-2.3520,-0.008179,3.837079,6.849121,-2.3520,0.602195,0.852480,0.657884,-0.294359,-0.525349,0.570242,-0.328080
11,1.429,A,2,3.854102,6.712707,3.735271,6.476483,3.277700,6.539328,1.285350,0.253323,-2.3166,-0.004844,-2.3809,-0.003165,4.049820,6.841476,-2.3809,0.481831,0.829133,0.234280,-0.314549,-0.364993,-0.195718,-0.128769
12,1.594,A,2,4.544077,7.012405,3.931395,6.538614,3.399770,6.560679,0.964622,0.345143,-2.3798,-0.001877,-2.3855,0.002033,4.264797,6.839246,-2.3855,0.448928,0.908774,0.328605,-0.333402,-0.300632,0.279280,0.173158
13,1.760,A,2,4.781433,6.538304,4.091913,6.671155,3.606154,6.625030,1.112243,0.614666,-2.3803,0.001045,-2.3703,0.001138,4.481498,6.841690,-2.3703,0.425275,0.901759,0.426619,-0.389585,-0.170535,0.299934,-0.303386
14,1.928,A,2,4.448995,6.996351,4.341891,6.737840,3.818709,6.610800,1.340411,0.393213,-2.3749,0.002030,-2.3538,0.000782,4.699730,6.844511,-2.3538,0.373401,0.911493,0.293127,-0.357840,-0.106671,-0.250736,0.151840
15,2.082,A,2,5.364464,5.465279,4.511246,6.777803,3.951010,6.667195,1.122720,0.545780,-2.3685,0.002588,-2.3562,-0.002580,4.919918,6.842967,-2.3562,0.413835,0.984722,1.447634,-0.408672,-0.065164,0.444546,-1.377688
16,2.234,A,2,4.643741,6.647868,4.714535,6.607795,4.199820,6.487214,1.438152,-0.606200,-2.3503,-0.000269,-2.3825,-0.007223,5.143653,6.835794,-2.3825,0.485928,1.006146,0.534067,-0.429118,-0.227998,-0.499912,-0.187926
17,2.387,A,2,5.573975,6.954340,4.887740,6.405302,4.305744,6.506402,0.986201,-0.266225,-2.3983,-0.005631,-2.4172,-0.005482,5.372813,6.826236,-2.4172,0.642247,1.113970,0.238489,-0.485073,-0.420934,0.201162,0.128104
18,2.543,A,2,6.062292,6.186062,5.038024,6.515986,4.533257,6.569788,1.176462,0.166616,-2.4213,-0.004607,-2.4374,-0.002192,5.608122,6.819058,-2.4374,0.645650,1.103391,0.779072,-0.570098,-0.303072,0.454170,-0.632996
19,2.692,A,2,6.180717,6.938693,5.352733,6.528825,4.801599,6.510786,1.578001,-0.153119,-2.4323,-0.003609,-2.4314,0.002972,5.848727,6.816947,-2.4314,0.573607,1.090968,0.353609,-0.495994,-0.288122,0.331990,0.121746
20,2.866,A,2,6.293124,5.969262,5.680517,6.537955,5.050269,6.571905,1.679319,0.265846,-2.4409,0.000523,-2.4083,0.004863,6.092889,6.818310,-2.4083,0.498648,1.071341,0.872340,-0.412372,-0.280355,0.200235,-0.849048
