sample,timestamp_s,lintasan,run_ke,gps_x,gps_y,ekf_x,ekf_y,ekf_vx,ekf_vy,ekf_yaw_deg,ekf_yaw_rate,imu_yaw_deg,imu_yaw_rate_rads,gt_x,gt_y,gt_yaw_deg,error_ekf_m,error_gps_m,error_ekf_x,error_ekf_y,error_gps_x,error_gps_y
1,0.000,B,5,1.950556,-26.940723,1.814923,-26.766666,0.161758,-0.022160,-10.3325,-0.037256,-10.2969,-0.036543,1.328851,-25.351152,-10.2804,1.496645,1.706826,0.486072,-1.415514,0.621706,-1.589571
2,0.133,B,5,2.802247,-26.673071,1.826964,-26.770622,0.149201,-0.020440,-10.4918,-0.034607,-10.4704,-0.031942,1.450141,-25.357032,-10.4396,1.462954,1.886836,0.376823,-1.413590,1.352106,-1.316039
3,0.294,B,5,3.780935,-26.913539,2.018389,-26.757525,0.175805,-0.007689,-10.6840,-0.034306,-10.6600,-0.034986,1.609706,-25.366489,-10.6297,1.449829,2.666008,0.408684,-1.391036,2.171229,-1.547050
4,0.453,B,5,1.996109,-26.245394,2.355949,-26.790029,0.235143,-0.001272,-10.8771,-0.034486,-10.8508,-0.033282,1.776131,-25.379652,-10.8201,1.524911,0.893252,0.579817,-1.410378,0.219977,-0.865742
5,0.614,B,5,3.042279,-27.088865,2.312605,-26.695166,0.193306,0.019466,-11.0658,-0.033026,-11.0398,-0.033203,1.946920,-25.395892,-11.0101,1.349755,2.016425,0.365686,-1.299274,1.095359,-1.692973
6,0.773,B,5,3.268894,-27.078213,2.464097,-26.768729,0.208702,0.006211,-11.2477,-0.031486,-11.2170,-0.030632,2.120239,-25.412859,-11.1899,1.398793,2.023070,0.343858,-1.355870,1.148655,-1.665354
7,0.935,B,5,3.350640,-25.732742,2.630485,-26.828548,0.225230,-0.001483,-11.4095,-0.027667,-11.3739,-0.025176,2.295327,-25.428272,-11.3503,1.439828,1.098357,0.335158,-1.400276,1.055313,-0.304471
8,1.100,B,5,3.414614,-26.888581,2.782991,-26.633374,0.225763,0.050805,-11.5364,-0.022878,-11.5104,-0.022051,2.472510,-25.441589,-11.4897,1.231564,1.726658,0.310482,-1.191785,0.942105,-1.446992
9,1.259,B,5,4.088796,-26.247770,2.920289,-26.679506,0.232922,0.040048,-11.6594,-0.021262,-11.6345,-0.021358,2.653131,-25.454500,-11.6150,1.253800,1.640247,0.267158,-1.225006,1.435665,-0.793270
10,1.417,B,5,3.202409,-27.500374,3.155941,-26.601697,0.256712,0.063896,-11.7761,-0.021255,-11.7565,-0.020870,2.839026,-25.469683,-11.7368,1.175539,2.062948,0.316915,-1.132014,0.363383,-2.030691
11,1.592,B,5,3.891963,-27.107478,3.189738,-26.764513,0.241341,0.019992,-11.9081,-0.022184,-11.8808,-0.021614,3.031630,-25.488760,-11.8608,1.285513,1.833145,0.158108,-1.275753,0.860333,-1.618718
12,1.754,B,5,4.241645,-26.700356,3.340756,-26.829987,0.250782,0.009333,-12.0319,-0.021509,-12.0025,-0.022833,3.231307,-25.511171,-11.9836,1.323349,1.560430,0.109449,-1.318815,1.010338,-1.189185
13,1.914,B,5,4.015323,-26.571226,3.528677,-26.810587,0.263796,0.021494,-12.1437,-0.019660,-12.1127,-0.018589,3.437164,-25.534689,-12.0961,1.279176,1.186877,0.091513,-1.275898,0.578160,-1.036537
14,2.084,B,5,4.742867,-26.734544,3.642583,-26.770325,0.257037,0.033712,-12.2391,-0.016772,-12.2066,-0.014873,3.647352,-25.557171,-12.1926,1.213163,1.608216,-0.004769,-1.213154,1.095515,-1.177373
15,2.261,B,5,4.106418,-26.826265,3.867904,-26.765951,0.278636,0.041470,-12.3167,-0.013598,-12.2878,-0.013132,3.859725,-25.578117,-12.2753,1.187862,1.272293,0.008179,-1.187834,0.246692,-1.248148
16,2.423,B,5,4.211919,-27.117304,3.938368,-26.778785,0.262488,0.037011,-12.3910,-0.013367,-12.3647,-0.012655,4.072606,-25.598824,-12.3524,1.187571,1.524857,-0.134237,-1.179960,0.139314,-1.518480
17,2.575,B,5,5.609229,-26.567349,4.013613,-26.842444,0.251827,0.021542,-12.4696,-0.013361,-12.4448,-0.013576,4.285544,-25.621287,-12.4316,1.251067,1.627015,-0.271930,-1.221157,1.323686,-0.946062
18,2.740,B,5,5.136930,-26.489076,4.328460,-26.795601,0.292671,0.045303,-12.5473,-0.014457,-12.5292,-0.013522,4.499727,-25.646664,-12.5156,1.161633,1.056260,-0.171267,-1.148938,0.637203,-0.842412
19,2.901,B,5,6.119938,-26.036011,4.504192,-26.741650,0.295980,0.061166,-12.6260,-0.014334,-12.6128,-0.013025,4.717446,-25.674464,-12.5998,1.088284,1.448344,-0.213253,-1.067186,1.402492,-0.361547
