sample,timestamp_s,lintasan,run_ke,gps_x,gps_y,ekf_x,ekf_y,ekf_vx,ekf_vy,ekf_yaw_deg,ekf_yaw_rate,imu_yaw_deg,imu_yaw_rate_rads,gt_x,gt_y,gt_yaw_deg,error_ekf_m,error_gps_m,error_ekf_x,error_ekf_y,error_gps_x,error_gps_y
1,0.000,A,4,0.214875,7.858879,-0.151418,7.559988,-0.005295,-0.016716,-0.3945,-0.002295,-0.3843,-0.004268,-0.192146,6.822148,-0.3867,0.738963,1.113767,0.040727,0.737840,0.407021,1.036731
2,0.120,A,4,0.343442,8.274324,-0.086810,7.611348,0.008496,-0.003908,-0.4102,-0.002435,-0.3996,-0.000735,-0.091864,6.824434,-0.3996,0.786931,1.513827,0.005054,0.786915,0.435307,1.449890
3,0.272,A,4,0.586906,7.162899,-0.009405,7.728982,0.023093,0.020544,-0.4116,-0.001180,-0.4087,-0.002037,-0.000530,6.826693,-0.4087,0.902333,0.676842,-0.008875,0.902289,0.587436,0.336206
4,0.403,A,4,0.578245,7.431620,0.098978,7.630170,0.042577,-0.001768,-0.4311,-0.003070,-0.4169,0.000351,0.095255,6.829428,-0.4169,0.800750,0.771956,0.003724,0.800742,0.482991,0.602192
5,0.568,A,4,0.449390,7.556797,0.188382,7.594623,0.055868,-0.008664,-0.4417,-0.002646,-0.4247,0.002892,0.194045,6.832638,-0.4247,0.762006,0.767859,-0.005663,0.761985,0.255346,0.724159
6,0.712,A,4,0.299685,8.320714,0.238988,7.587210,0.061175,-0.009321,-0.4511,-0.002501,-0.4328,-0.003239,0.295854,6.836156,-0.4328,0.753204,1.484563,-0.056866,0.751055,0.003830,1.484558
7,0.858,A,4,0.594784,7.750860,0.255374,7.716443,0.057311,0.018948,-0.4710,-0.003143,-0.4416,-0.000301,0.402114,6.839746,-0.4416,0.888892,0.931263,-0.146740,0.876697,0.192671,0.911114
8,0.999,A,4,0.450048,7.407448,0.322142,7.724604,0.063088,0.018115,-0.4786,-0.001901,-0.4507,-0.001752,0.515040,6.843276,-0.4507,0.902191,0.567903,-0.192898,0.881328,-0.064993,0.564172
9,1.132,A,4,1.605706,7.246133,0.350971,7.669872,0.061724,0.004976,-0.4771,-0.000731,-0.4588,-0.002959,0.636542,6.846812,-0.4588,0.871193,1.048207,-0.285570,0.823060,0.969165,0.399321
10,1.269,A,4,1.205965,7.200025,0.578080,7.595138,0.103254,-0.010654,-0.4795,-0.000734,-0.4647,-0.003534,0.767245,6.850554,-0.4647,0.768237,0.560897,-0.189165,0.744584,0.438721,0.349470
11,1.417,A,4,1.365444,7.100099,0.701237,7.523508,0.114398,-0.023662,-0.4900,-0.001874,-0.4680,0.007712,0.906171,6.854667,-0.4680,0.699533,0.520738,-0.204934,0.668841,0.459273,0.245432
12,1.557,A,4,1.625160,7.676352,0.827768,7.446586,0.130082,-0.037208,-0.4891,-0.000496,-0.4700,-0.004712,1.051172,6.859123,-0.4700,0.628508,0.998662,-0.223404,0.587463,0.573987,0.817229
13,1.709,A,4,1.061025,7.650347,0.983984,7.483225,0.143851,-0.024405,-0.4944,-0.000914,-0.4727,-0.001216,1.199897,6.863708,-0.4727,0.656064,0.798803,-0.215913,0.619517,-0.138871,0.786639
