gps_x,gps_y,ekf_x,ekf_y,gt_x,gt_y,GPS ?s,EKF ?s,GT ?s
3.90081,6.470006,4.568612,6.9546,4.911815,6.955587,1.372068993,0.706201029,0.2227513
5.054517,7.212659,3.997039,6.539842,5.133892,6.938268,0.926658295,0.628279818,0.23357689
5.442136,6.370966,4.527305,6.876819,5.366893,6.921876,0.847802114,0.433706282,0.243754423
5.136009,7.16157,4.91576,6.683936,5.610588,6.916494,1.22907491,0.208656433,0.250890616
5.81576,8.185564,5.037166,6.853636,5.861292,6.926169,1.766002311,0.54468097,0.251441554
6.00333,6.429551,5.335324,7.309464,6.112191,6.942678,0.96368442,0.371087913,0.247647254
6.79621,6.9773,5.628011,7.08134,6.359708,6.950709,1.171051608,0.440561675,0.245367365
5.656656,7.247075,6.068439,7.070488,6.605,6.944628,0.757204176,0.072574459,0.244345338
6.41136,7.308557,6.045645,7.13939,6.848731,6.927312,0.436146012,0.194707695,0.243634101
6.797318,7.105432,6.228771,7.205541,7.0917,6.909322,0.612773744,0.230730037,0.246831094
6.88113,7.712447,6.459404,7.19885,7.338461,6.90344,0.518150472,0.23732971,0.255548372
7.254645,7.353328,6.646254,7.34518,7.593911,6.91053,0.376232977,0.232429147,0.265458362
7.536009,7.103557,6.877329,7.370233,7.859096,6.922574,1.016430663,0.227316138,0.272222972
6.520485,7.060635,7.100378,7.326395,8.13126,6.92824,1.104815624,0.081035357,0.274082022
7.614358,7.215746,7.033822,7.280167,8.40521,6.919734,0.741076291,0.198428372,0.273653891
8.010342,6.589335,7.23225,7.279783,8.678322,6.902521,0.786844515,0.260138144,0.272390985
8.786253,6.72005,7.455534,7.146306,8.950311,6.887728,1.125590478,0.339778023,0.269461717
8.928947,7.836559,7.785379,7.06475,9.219751,6.884307,0.807813787,0.327232834,0.266551692
9.036492,7.035936,8.073778,7.21937,9.486137,6.893704,0.157600481,0.250665023,0.267658488
8.882994,7.071661,8.322659,7.189517,9.753531,6.9056,0.906394436,0.168637373,0.273387725
9.165826,7.932798,8.490318,7.171378,10.026899,6.908884,1.286465041,0.235896113,0.281732037
9.440752,6.676053,8.674905,7.318261,10.308465,6.899213,0.83060597,0.227584287,0.289920347
10.002971,7.287458,8.872262,7.204926,10.597805,6.880878,0.533394302,0.261890573,0.294816132
10.535198,7.252189,9.133512,7.223232,10.892259,6.86627,0.382595068,0.308828995,0.296519303
10.822924,7.000013,9.442226,7.231659,11.188767,6.863681,0.711912377,0.306206745,0.295489095
11.3512,7.477238,9.745914,7.192465,11.484145,6.871783,0.895908144,0.347426669,0.290680175
11.795947,6.699516,10.089193,7.245989,11.774621,6.882676,1.026747204,0.373882359,0.284792421
11.614331,7.710073,10.450601,7.150217,12.059399,6.885542,0.621743095,0.282538578,0.284048441
12.116674,7.343718,10.714315,7.251622,12.343311,6.876739,0.209842237,0.305577513,0.289435932
11.990669,7.175919,11.019292,7.27077,12.632387,6.862309,1.077634491,0.227639961,0.298049798
