gps_x,gps_y,ekf_x,ekf_y,gt_x,gt_y,GPS ?s,EKF ?s,GT ?s
-1.507119,-24.299071,-1.395364,-24.641431,-0.608216,-25.282242,0.751106583,0.068175726,0.040146446
-1.120937,-24.943295,-1.415158,-24.576192,-0.56849,-25.276447,0.759245024,0.080902486,0.039182458
-1.463284,-24.265614,-1.362482,-24.637596,-0.529641,-25.281548,0.825561267,0.070706424,0.042887586
-1.050583,-24.980617,-1.379672,-24.569011,-0.487554,-25.289796,0.98206034,0.091238765,0.050118324
-1.304245,-24.031882,-1.320196,-24.6382,-0.437935,-25.296853,0.591506192,0.110372454,0.06197442
-0.747445,-24.231515,-1.315655,-24.527921,-0.375967,-25.295961,0.310751455,0.117644264,0.07539757
-0.585352,-24.496642,-1.212598,-24.471181,-0.30079,-25.290198,0.772667553,0.115366053,0.086766201
-1.246546,-24.896439,-1.097232,-24.471292,-0.21414,-25.285709,0.654682521,0.074987032,0.094279075
-0.919207,-25.463412,-1.118533,-24.54319,-0.119906,-25.288624,0.456288493,0.166798444,0.098469388
-0.675955,-25.077371,-1.078788,-24.705184,-0.022031,-25.299427,0.711329408,0.102000777,0.119869068
-1.167293,-24.563001,-1.002544,-24.772941,0.096793,-25.315221,1.135858259,0.042034821,0.100848119
-0.069807,-24.270258,-1.026255,-24.738232,0.197356,-25.322799,0.366426718,0.193140757,0.104993212
-0.434461,-24.306258,-0.851275,-24.656468,0.302349,-25.32301,0.504979024,0.10310698,0.112625851
0.063045,-24.392812,-0.769293,-24.593938,0.414936,-25.320052,0.600806631,0.160108559,0.096896098
-0.43565,-24.057742,-0.613501,-24.557011,0.511832,-25.32019,1.029388703,0.100058342,0.130375698
0.309882,-24.767547,-0.571136,-24.466364,0.64198,-25.327892,0.791715504,0.171518356,0.140406867
-0.481123,-24.734013,-0.407357,-24.517305,0.781538,-25.343308,0.425116004,0.036675012,0.148221011
-0.100741,-24.544189,-0.408656,-24.553957,0.928741,-25.36065,1.008471022,0.067258695,0.152634544
0.804055,-24.989563,-0.341451,-24.55127,1.080841,-25.373413,0.687358052,0.227796423,0.154235991
0.710213,-24.308641,-0.127149,-24.628509,1.234971,-25.37913,0.609409257,0.171855583,0.154745216
1.05891,-24.808431,0.035358,-24.5726,1.389701,-25.3813,0.773728189,0.20161548,0.156090718
0.368978,-24.458218,0.232593,-24.614399,1.545712,-25.386288,0.881027359,0.049572322,0.159974175
1.240765,-24.585484,0.274136,-24.587351,1.705232,-25.398334,0.296642146,0.188057036,0.167108013
1.176247,-24.875025,0.462193,-24.587234,1.871343,-25.416561,1.016187316,0.153811476,0.17651481
1.880583,-24.142531,0.60714,-24.638696,2.046813,-25.435738,1.0641016,0.260248084,0.186176684
1.036333,-24.790261,0.852424,-24.55172,2.232376,-25.450842,0.535601892,0.068396778,0.193859563
1.571291,-24.816516,0.906447,-24.593668,2.425974,-25.460909,0.678600669,0.143918703,0.197712241
1.414021,-24.156391,1.044673,-24.633745,2.623504,-25.469396,1.018880266,0.120085775,0.197827943
2.367121,-24.516554,1.130705,-24.549965,2.820964,-25.481456,0.571295461,0.239789465,0.196817681
2.920151,-24.373249,1.370407,-24.543489,3.016947,-25.499563,0.19010782,0.299507256,0.197260288
3.073621,-24.485445,1.668324,-24.512666,3.212969,-25.521631,1.317061744,0.275550999,0.200262144
2.877421,-25.787811,1.943813,-24.506821,3.412097,-25.542914,0.634853993,0.298630061,0.206217837
2.878544,-25.152958,2.137766,-24.733894,3.617627,-25.559743,0.873963176,0.178249842,0.21437885
3.119578,-24.31289,2.297943,-24.812101,3.831607,-25.572814,0.33583786,0.193673743,0.222549144
3.240066,-24.62637,2.472396,-24.727984,4.053734,-25.586515,1.013925415,0.165723912,0.228545537
3.371435,-25.631749,2.637393,-24.712479,4.281511,-25.605242,0.821649466,0.229562255,0.231348386
3.654848,-24.860526,2.796311,-24.878141,4.511525,-25.630054,0.492904446,0.180946081,0.231542215
3.275345,-25.175061,2.977247,-24.880051,4.741419,-25.657632,0.576057105,0.099397092,0.230878773
3.690363,-25.574563,3.05865,-24.937089,4.970897,-25.683026,1.312965784,0.182803947,0.230971761
4.615566,-24.642963,3.197765,-25.055682,5.200959,-25.703506,0.598241346,0.286554114,0.232746852
4.352339,-25.180182,3.476471,-24.989077,5.433089,-25.72044,0.221061574,0.188647825,0.236676965
4.545375,-25.072454,3.661085,-25.02788,5.669073,-25.738538,0.408973703,0.186818476,0.242633153
4.943382,-24.97838,3.847455,-25.040817,5.910555,-25.762145,0.977605822,0.225724267,0.300067028
5.800939,-25.447751,4.073093,-25.034577,6.208449,-25.798192,0.402158497,0.347035795,0.255994198
5.438112,-25.274292,4.411314,-25.112297,6.46241,-25.830392,0.991740911,0.218965061,0.25742559
6.22017,-25.884157,4.627605,-25.146413,6.718404,-25.857503,0.921771774,0.432082995,0.246286771
5.377534,-25.510489,5.021743,-25.323475,6.963941,-25.876706,1.024457743,0.028019965,0.196155677
6.060208,-24.746637,5.049115,-25.329466,7.159435,-25.892804,1.211961722,0.240445122,0.280869413
6.761298,-25.735234,5.270275,-25.235115,7.439587,-25.912866,0.818017936,0.314133587,0.230454219
6.166366,-25.173799,5.56986,-25.329607,7.669099,-25.933684,0.770175541,0.143789316,0.231035542
6.901998,-24.945729,5.712108,-25.30861,7.898887,-25.957661,1.378627772,0.25187388,0.185829335
7.614426,-26.126009,5.957047,-25.249913,8.083977,-25.974221,0.623508368,0.366723575,0.2385784
7.323534,-25.574516,6.287137,-25.409684,8.321599,-25.995562,0.43546601,0.224982043,0.245228991
7.126586,-25.186132,6.509084,-25.446514,8.566192,-26.013212,1.005840121,0.152290049,0.245027291
7.6241,-26.060314,6.656453,-25.408113,8.810656,-26.029817,0.553757953,0.241342346,0.240197675
7.965488,-26.496321,6.86467,-25.530145,9.049894,-26.051267,1.347819779,0.293534184,0.236258994
9.266759,-26.145163,7.096261,-25.7105,9.285339,-26.070862,0.863862865,0.431436631,0.23286212
8.779688,-25.431706,7.518457,-25.799315,9.517078,-26.093705,0.413473446,0.269795758,0.233031626
9.19298,-25.443954,7.782955,-25.746112,9.748789,-26.118479,0.289297953,0.294692737,0.23919198
9.182978,-25.733079,8.074421,-25.702622,9.986835,-26.141865,0.513453542,0.23919835,0.248156051
9.594542,-26.04008,8.31321,-25.71661,10.233786,-26.166291,0.234354997,0.277251978,0.257715127
9.407376,-26.181116,8.582538,-25.782421,10.490183,-26.192323,0.981475002,0.20470363,0.264155448
10.329435,-26.51742,8.771023,-25.862277,10.752636,-26.222265,0.986190902,0.342018942,0.265834448
10.576946,-25.562794,9.088822,-25.988692,11.016234,-26.256675,0.921130852,0.313499335,0.263954277
10.526455,-26.48254,9.395661,-25.924414,11.277626,-26.293364,0.818654583,0.267309882,0.260804115
