gps_x,gps_y,ekf_x,ekf_y,gt_x,gt_y,GPS ?s,EKF ?s,GT ?s
0.72198,-24.306709,0.224186,-25.246993,0.152516,-25.318239,1.108335845,0.191912375,0.098640724
0.530311,-25.398346,0.320182,-25.080815,0.251154,-25.318972,0.46295497,0.071085093,0.105696502
0.937275,-25.177648,0.365988,-25.135174,0.356818,-25.321593,0.345978107,0.110222388,0.115211816
0.653851,-24.979225,0.476004,-25.141916,0.472022,-25.322935,1.393522865,0.050601784,0.115501861
1.746621,-24.114494,0.517183,-25.112508,0.587447,-25.318722,1.131798711,0.289744691,0.123231373
1.419065,-25.197857,0.745277,-24.933832,0.710655,-25.316322,0.206329514,0.139307089,0.120327938
1.622342,-25.162497,0.877866,-24.976571,0.830846,-25.310583,0.205690725,0.149429606,0.117597265
1.419667,-25.127404,1.024175,-25.00695,0.948268,-25.304165,0.400875897,0.087673353,0.118012349
1.818811,-25.090181,1.10962,-25.026591,1.066267,-25.30239,0.259802019,0.141636251,0.112435996
1.728174,-24.846702,1.25087,-25.037044,1.17851,-25.295805,0.566347603,0.106739153,0.116692758
1.290534,-25.206175,1.351871,-25.002518,1.295097,-25.290838,0.770665993,0.035636607,0.121822632
2.032098,-24.996392,1.357106,-25.037768,1.416657,-25.282843,0.313982023,0.134716313,0.129189671
1.882469,-25.272428,1.491631,-25.030591,1.545478,-25.27309,0.666519291,0.095146987,0.133937086
1.818786,-24.608958,1.576501,-25.073603,1.679297,-25.267467,1.178620348,0.098545347,0.138143739
2.226348,-25.714869,1.631756,-24.992006,1.817241,-25.260041,0.484105955,0.178185758,0.144150718
1.81868,-25.453784,1.755303,-25.120405,1.961171,-25.252067,0.698719421,0.064896554,0.145918242
2.456334,-25.168116,1.778163,-25.181142,2.107088,-25.251465,0.607426993,0.138246432,0.151833119
2.589176,-24.575393,1.916397,-25.182996,2.258839,-25.246472,1.134531627,0.170088335,0.155273089
3.631349,-24.127021,2.049955,-25.077676,2.414102,-25.244702,0.789436843,0.341222064,0.161509456
3.209621,-24.794371,2.346996,-24.90975,2.575552,-25.24032,0.190437226,0.174795498,0.167481086
3.073037,-24.927078,2.520314,-24.887071,2.742998,-25.236892,0.593733984,0.119413266,0.173622561
3.618264,-24.69203,2.639625,-24.892012,2.91661,-25.234977,0.308250941,0.198531283,0.179289606
3.452479,-24.951903,2.834643,-24.854828,3.095899,-25.235443,0.891358941,0.133154435,0.184213573
3.697452,-24.094868,2.966917,-24.870115,3.280096,-25.237914,1.330935393,0.206407826,0.188402687
3.759677,-25.424348,3.119311,-24.730902,3.468472,-25.241085,0.976332081,0.181686986,0.192137367
4.363678,-24.657271,3.255996,-24.850599,3.66059,-25.243813,0.984088848,0.222675764,0.195796394
3.605687,-25.28487,3.47588,-24.815449,3.856374,-25.246016,0.884280604,0.095018963,0.199631896
4.48989,-25.296585,3.523384,-24.897741,4.055988,-25.248689,0.278022287,0.207295357,0.203794525
4.290971,-25.102349,3.71791,-24.969372,4.259734,-25.253136,0.389270656,0.128288318,0.208363891
4.680205,-25.097007,3.843584,-24.995139,4.467985,-25.259994,0.386498802,0.173520128,0.213229336
4.483426,-25.429662,4.015874,-25.015764,4.681033,-25.268786,1.092549378,0.131671276,0.217991683
5.018693,-24.477216,4.123128,-25.092144,4.898815,-25.278345,0.967395298,0.211023098,0.222163867
4.982313,-25.443927,4.305912,-24.986689,5.12078,-25.287743,0.663474055,0.166702063,0.225472574
5.636915,-25.335788,4.450507,-25.069646,5.346063,-25.296987,0.986968492,0.240738872,0.228035887
6.42262,-25.933094,4.68589,-25.120144,5.57388,-25.306976,1.168252686,0.366540497,0.230284909
6.456234,-24.765325,5.020962,-25.268733,5.803865,-25.318725,1.004129688,0.29689144,0.23271497
6.801508,-25.708226,5.305973,-25.185587,6.036168,-25.332566,0.508100265,0.313322158,0.2357036
6.740638,-25.203785,5.603819,-25.282842,6.27137,-25.347935,0.380740802,0.23629472,0.239344581
6.686848,-24.826863,5.839966,-25.274488,6.510183,-25.363878,1.253448467,0.199736338,0.243348786
6.908567,-26.060546,6.025211,-25.199796,6.753007,-25.379851,0.505894028,0.24701074,0.247150498
7.280294,-25.717402,6.216518,-25.356052,6.99962,-25.396142,1.279404429,0.233984815,0.25022808
8.068917,-24.709955,6.439749,-25.426172,7.249237,-25.413619,0.3790278,0.346161941,0.252451745
8.184236,-25.071014,6.764113,-25.305275,7.500942,-25.433022,0.349255476,0.291961877,0.254108964
8.149562,-25.418544,7.053571,-25.26712,7.754155,-25.454342,0.452538863,0.235006285,0.255637624
8.260927,-25.857166,7.286729,-25.296536,8.008803,-25.476814,0.581319548,0.235180951,0.257413208
8.465259,-26.401391,7.49834,-25.399156,8.265213,-25.499518,1.241776058,0.278517825,0.259666188
9.083487,-25.32445,7.708347,-25.582102,8.523894,-25.522116,0.204953422,0.277018307,0.262415998
8.916714,-25.443583,7.982537,-25.542618,8.785298,-25.54514,0.752097773,0.215086613,0.26541737
9.561885,-25.057053,8.197382,-25.532426,9.049587,-25.569588,0.823800577,0.291108149,0.268289724
9.536946,-25.880476,8.477333,-25.452605,9.316559,-25.596146,1.40903537,0.231594573,0.270727785
10.131717,-27.157828,8.695335,-25.530779,9.585781,-25.62466,2.648543376,0.414002552,0.272635614
9.678522,-24.548346,8.988163,-25.823439,9.856806,-25.654251,1.131738275,0.275482289,0.274110481
