gps_x,gps_y,ekf_x,ekf_y,gt_x,gt_y,GPS ?s,EKF ?s,GT ?s
1.410859,7.556229,0.929761,6.705722,1.377913,6.903588,0.738914013,0.182577852,0.153512404
1.914596,7.015634,1.029447,6.858684,1.531224,6.895727,0.535749885,0.174969386,0.152664578
2.348124,6.700862,1.201406,6.891001,1.683727,6.888705,1.130358383,0.222140715,0.151321614
1.843942,7.712549,1.421597,6.861634,1.834841,6.880781,1.405199486,0.18097744,0.152069527
2.53553,6.489319,1.515303,7.016463,1.986593,6.870959,0.113226303,0.218278002,0.156874644
2.536816,6.602538,1.715119,6.928606,2.143061,6.859671,0.226907171,0.174994149,0.165892306
2.723639,6.473759,1.881411,6.874109,2.308563,6.848298,0.367968447,0.184350638,0.177130458
2.399547,6.648015,2.052274,6.804892,2.485387,6.837883,0.548751486,0.088103233,0.187529857
2.942227,6.566611,2.135982,6.777412,2.67267,6.828264,0.385762404,0.168742654,0.194390282
3.245794,6.328578,2.300463,6.739728,2.866803,6.818266,0.275381157,0.203988545,0.196742567
3.483777,6.467138,2.490524,6.665646,3.06321,6.80678,0.667435489,0.203278715,0.195827129
4.123703,6.277494,2.690296,6.628051,3.258609,6.793838,0.291693584,0.286863498,0.194042086
3.912694,6.47889,2.969662,6.562895,3.452202,6.780644,0.540567449,0.195596559,0.193865059
3.74751,6.993601,3.164365,6.54422,3.645695,6.768639,1.187454593,0.151947299,0.197233015
4.149171,5.876141,3.29575,6.620548,3.842657,6.758303,1.218127368,0.223624031,0.204573811
3.626584,6.976476,3.474579,6.48628,4.047001,6.748609,1.821387888,0.099359563,0.210312586
3.670557,8.797333,3.528935,6.569453,4.256861,6.734819,2.217423386,0.396102256,0.208024655
4.044508,6.611669,3.574403,6.962937,4.464352,6.719928,0.58027907,0.1240025,0.216253771
4.553522,6.890288,3.685293,6.907439,4.680129,6.705576,0.684505204,0.17214352,0.211703561
