sample,timestamp_s,lintasan,run_ke,gps_x,gps_y,ekf_x,ekf_y,ekf_vx,ekf_vy,ekf_yaw_deg,ekf_yaw_rate,imu_yaw_deg,imu_yaw_rate_rads,gt_x,gt_y,gt_yaw_deg,error_ekf_m,error_gps_m,error_ekf_x,error_ekf_y,error_gps_x,error_gps_y
1,0.000,B,5,-0.863751,-25.878813,-1.095847,-25.475173,0.001079,0.008551,-4.5266,-0.073373,-7.0313,-0.149689,-0.935312,-25.309087,-4.4485,0.230989,0.574203,-0.160535,-0.166086,0.071561,-0.569726
2,0.002,B,5,-1.347895,-25.467348,-1.095698,-25.474518,0.000995,0.007888,-5.1863,-0.099748,-7.0313,-0.149689,-0.907888,-25.298692,-5.1687,0.257269,0.471224,-0.187811,-0.175826,-0.440008,-0.168656
3,0.004,B,5,-1.142649,-25.270335,-1.140410,-25.472460,-0.008217,0.006837,-6.0715,-0.119344,-7.0313,-0.149689,-0.871485,-25.288632,-6.0769,0.325751,0.271781,-0.268926,-0.183828,-0.271165,0.018297
4,0.006,B,5,-1.201485,-25.121725,-1.151948,-25.381059,-0.011409,0.025791,-6.4263,-0.097656,-7.0313,-0.149689,-0.830150,-25.283658,-6.3880,0.336215,0.405108,-0.321797,-0.097401,-0.371335,0.161934
5,0.054,B,5,-0.594024,-24.925045,-1.152737,-25.378466,-0.010313,0.023313,-7.2430,-0.115529,-7.2809,-0.069308,-0.782177,-25.273591,-7.2451,0.385115,0.396088,-0.370560,-0.104875,0.188153,0.348546
6,0.185,B,5,-1.266930,-25.754095,-1.053925,-25.295494,0.009331,0.039205,-7.7018,-0.102445,-7.7417,-0.122865,-0.731417,-25.267162,-7.6828,0.323750,0.723795,-0.322508,-0.028332,-0.535513,-0.486934
7,0.336,B,5,-1.253417,-25.225137,-1.090499,-25.373480,0.002418,0.018182,-8.2681,-0.099747,-8.2900,-0.081912,-0.675289,-25.259352,-8.2536,0.430609,0.579139,-0.415210,-0.114128,-0.578128,0.034215
8,0.492,B,5,-1.013725,-24.827267,-1.118989,-25.345355,-0.004252,0.021122,-8.8026,-0.096777,-8.8212,-0.088187,-0.612757,-25.252947,-8.7802,0.514597,0.584789,-0.506232,-0.092408,-0.400967,0.425680
9,0.617,B,5,-1.230986,-25.664606,-1.100265,-25.251081,-0.002292,0.038131,-9.3153,-0.093607,-9.3235,-0.082341,-0.541799,-25.248555,-9.2841,0.558471,0.805032,-0.558466,-0.002525,-0.689186,-0.416051
10,0.779,B,5,-0.835163,-25.993402,-1.123206,-25.321016,-0.004837,0.019046,-9.7935,-0.089184,-9.8053,-0.082271,-0.461180,-25.246236,-9.7675,0.666236,0.835535,-0.662026,-0.074779,-0.373983,-0.747165
11,0.918,B,5,-0.946389,-25.507112,-1.072173,-25.438846,0.009285,-0.005417,-10.2626,-0.085971,-10.2645,-0.069456,-0.371062,-25.245462,-10.2286,0.727292,0.632030,-0.701111,-0.193384,-0.575327,-0.261650
12,1.051,B,5,-1.340207,-25.971105,-1.049252,-25.451503,0.013524,-0.006806,-10.6129,-0.082512,-10.7007,-0.074909,-0.272992,-25.245568,-10.6666,0.803112,1.290485,-0.776260,-0.205935,-1.067215,-0.725537
13,1.187,B,5,-0.594920,-26.009711,-1.099824,-25.545042,0.004429,-0.026422,-11.1288,-0.078772,-11.1165,-0.076277,-0.169211,-25.246263,-11.0839,0.977399,0.874117,-0.930613,-0.298778,-0.425709,-0.763448
14,1.335,B,5,-0.755664,-24.948321,-1.010122,-25.630356,0.024718,-0.037435,-11.5361,-0.075386,-11.5160,-0.068116,-0.061696,-25.247772,-11.4845,1.022684,0.755819,-0.948426,-0.382584,-0.693968,0.299451
15,1.464,B,5,0.408575,-26.058656,-0.963669,-25.512758,0.027711,-0.008166,-11.8456,-0.072577,-11.9024,-0.069134,0.048546,-25.250539,-11.8720,1.045627,0.884689,-1.012214,-0.262218,0.360029,-0.808117
16,1.608,B,5,-0.227021,-25.714987,-0.717824,-25.611018,0.079472,-0.018259,-12.2187,-0.069422,-12.2769,-0.069661,0.161798,-25.254866,-12.2474,0.948989,0.602405,-0.879622,-0.356153,-0.388819,-0.460121
17,1.779,B,5,-0.710659,-25.270088,-0.622345,-25.633404,0.088738,-0.016521,-12.6740,-0.067853,-12.6378,-0.069165,0.279562,-25.260745,-12.6095,0.975864,0.990265,-0.901907,-0.372659,-0.990221,-0.009343
18,1.933,B,5,0.045077,-27.211450,-0.631512,-25.571855,0.076092,-0.002817,-12.9647,-0.066252,-12.9824,-0.053006,0.403844,-25.268007,-12.9555,1.079020,1.976281,-1.035356,-0.303847,-0.358767,-1.943443
19,2.103,B,5,0.203441,-25.279472,-0.510647,-25.859117,0.111733,-0.060010,-13.0883,-0.063854,-13.3095,-0.053566,0.536058,-25.276611,-13.2840,1.197876,0.332630,-1.046706,-0.582506,-0.332618,-0.002861
20,2.260,B,5,0.560900,-25.650280,-0.378474,-25.774858,0.123575,-0.025645,-13.5919,-0.058940,-13.6208,-0.056608,0.676249,-25.286790,-13.5964,1.162175,0.381354,-1.054723,-0.488068,-0.115350,-0.363490
21,2.417,B,5,0.783837,-25.598632,-0.205609,-25.759711,0.143327,-0.010415,-13.9548,-0.056012,-13.9201,-0.045815,0.823060,-25.298913,-13.8965,1.127162,0.302275,-1.028669,-0.460797,-0.039224,-0.299719
22,2.576,B,5,1.013540,-25.202039,-0.021107,-25.736218,0.164657,0.004715,-14.2433,-0.053676,-14.2107,-0.049798,0.974407,-25.313137,-14.1878,1.081686,0.117789,-0.995514,-0.423080,0.039133,0.111098
23,2.726,B,5,0.675018,-24.995737,0.175409,-25.646339,0.182045,0.032451,-14.5336,-0.052452,-14.4936,-0.041702,1.128424,-25.329151,-14.4713,1.004413,0.562799,-0.953015,-0.317188,-0.453406,0.333414
24,2.888,B,5,0.655891,-26.423927,0.281175,-25.533202,0.177018,0.057100,-14.7986,-0.049897,-14.7674,-0.045751,1.284174,-25.346295,-14.7459,1.020265,1.247410,-1.002999,-0.186907,-0.628284,-1.077632
