gps_x,gps_y,ekf_x,ekf_y,gt_x,gt_y,GPS ?s,EKF ?s,GT ?s,,,,,?x_gt,?y_gt,STDDEV GT
1.678596,-26.701674,0.678896,-25.992003,0.747184,-25.23118,0.493338554,0.22779728,0.132978442,,,,,0.132704,-0.008539,0.132978442
1.336118,-27.056768,0.866334,-26.121458,0.879888,-25.239719,1.295118598,0.196204792,0.138900293,,,,,0.137952,-0.016203,0.138900293
1.952404,-25.917679,0.961108,-26.293255,1.01784,-25.255922,0.516594045,0.196465282,0.144440806,,,,,0.14257,-0.023172,0.144440806
2.252696,-25.497329,1.148451,-26.234084,1.16041,-25.279094,0.978522687,0.244470506,0.149567609,,,,,0.147383,-0.02547,0.149567609
1.430702,-26.028208,1.358613,-26.109193,1.307793,-25.304564,0.613891201,0.031183944,0.154186699,,,,,0.152481,-0.022871,0.154186699
2.039714,-25.950963,1.387676,-26.097889,1.460274,-25.327435,0.076218617,0.133007169,0.158387734,,,,,0.157266,-0.018817,0.158387734
2.009354,-26.020874,1.518595,-26.074413,1.61754,-25.346252,0.954697179,0.103328206,0.162158697,,,,,0.161181,-0.01778,0.162158697
2.520251,-26.827367,1.62165,-26.066904,1.778721,-25.364032,1.243459517,0.22290779,0.165789057,,,,,0.16436,-0.021721,0.165789057
1.881563,-25.76047,1.797398,-26.204019,1.943081,-25.385753,0.47842156,0.081324742,0.170124478,,,,,0.167693,-0.02866,0.170124478
2.175685,-26.137802,1.829853,-26.129451,2.110774,-25.414413,0.932336295,0.077728094,0.17571751,,,,,0.172311,-0.034432,0.17571751
3.099577,-26.012604,1.907478,-26.133453,2.283085,-25.448845,1.349854743,0.228697375,0.182243057,,,,,0.178654,-0.03599,0.182243057
2.821331,-27.33347,2.135381,-26.114408,2.461739,-25.484835,1.310073081,0.260044508,0.188856691,,,,,0.18581,-0.033786,0.188856691
3.656811,-26.324379,2.275737,-26.333322,2.647549,-25.518621,0.35370164,0.264716969,0.194483926,,,,,0.191971,-0.031163,0.194483926
3.304235,-26.296183,2.540415,-26.337864,2.83952,-25.549784,0.80256642,0.157812982,0.19820714,,,,,0.19569,-0.031488,0.19820714
4.069799,-26.0553,2.698218,-26.336089,3.03521,-25.581272,0.652140465,0.270290525,0.200237879,,,,,0.19705,-0.035588,0.200237879
3.439474,-26.222565,2.96476,-26.29123,3.23226,-25.61686,1.383537284,0.10987717,0.202039048,,,,,0.197802,-0.04116,0.202039048
4.528616,-25.369368,3.074312,-26.282783,3.430062,-25.65802,1.394684951,0.324891767,0.205039851,,,,,0.200092,-0.044772,0.205039851
3.575773,-26.387816,3.357492,-26.123523,3.630154,-25.702792,1.2093418,0.080900696,0.209733434,,,,,0.204909,-0.044726,0.209733434
4.421771,-27.251989,3.423349,-26.17051,3.835063,-25.747518,0.442690139,0.280295716,0.215750901,,,,,0.211548,-0.042378,0.215750901
4.276668,-26.833755,3.626162,-26.363985,4.046611,-25.789896,1.296574092,0.167148492,0.221996708,,,,,0.218171,-0.041036,0.221996708
5.31573,-26.05822,3.768068,-26.45231,4.264782,-25.830932,1.689104816,0.308105137,0.227168658,,,,,0.223036,-0.043134,0.227168658
5.032051,-27.723333,4.069423,-26.38817,4.487818,-25.874066,0.484525293,0.31388779,0.230691151,,,,,0.2256,-0.048198,0.230691151
5.132016,-27.249232,4.269524,-26.630007,4.713418,-25.922264,0.542223373,0.217982273,0.232944635,,,,,0.226767,-0.053291,0.232944635
5.570609,-26.930418,4.45233,-26.748743,4.940185,-25.975555,0.927710402,0.232378202,0.234788539,,,,,0.228165,-0.055375,0.234788539
4.786335,-26.434877,4.680831,-26.791015,5.16835,-26.03093,2.055011074,0.072914742,0.237069933,,,,,0.230883,-0.053807,0.237069933
6.591327,-27.417259,4.730105,-26.737269,5.399233,-26.084737,0.816909916,0.381550823,0.240231788,,,,,0.234799,-0.050801,0.240231788
5.799439,-27.617896,5.089326,-26.865882,5.634032,-26.135538,1.100049187,0.213233496,0.244109403,,,,,0.239,-0.049683,0.244109403
6.475227,-26.749899,5.247403,-27.008991,5.873032,-26.185221,0.307775325,0.252116416,0.298404608,,,,,0.291575,-0.063477,0.298404608
6.167838,-26.734483,5.497063,-26.973883,6.164607,-26.248698,0.773088999,0.156664346,0.253226669,,,,,0.246257,-0.059002,0.253226669
6.689071,-27.305432,5.650173,-26.940701,6.410864,-26.3077,0.790132027,0.227077376,0.257099584,,,,,0.249127,-0.063529,0.257099584
7.360799,-26.889391,5.865496,-27.012813,6.659991,-26.371229,1.085806941,0.300010959,0.260331709,,,,,0.25222,-0.06448,0.260331709
7.847324,-27.860097,6.165198,-26.999201,6.912211,-26.435709,1.323529159,0.368880676,0.262767165,,,,,0.255302,-0.062189,0.262767165
7.485435,-26.587004,6.497604,-27.159136,7.167513,-26.497898,1.171517318,0.225288157,0.264576821,,,,,0.257813,-0.059442,0.264576821
8.619733,-26.879956,6.702397,-27.06525,7.425326,-26.55734,0.604306688,0.386897123,0.212718593,,,,,0.207415,-0.047204,0.212718593
8.016132,-26.85076,7.088459,-27.039843,7.632741,-26.604544,1.212412609,0.205560631,0.261662968,,,,,0.253871,-0.06338,0.261662968
9.120083,-26.349525,7.29194,-27.010677,7.886612,-26.667924,1.752782735,0.38192326,0.253643527,,,,,0.24563,-0.063253,0.253643527
9.124942,-28.102301,7.656435,-26.896621,8.132242,-26.731177,1.201437716,0.371942659,0.257466802,,,,,0.249,-0.065484,0.257466802
9.889846,-27.175816,7.95954,-27.112187,8.381242,-26.796661,1.428288834,0.386739194,0.24641179,,,,,0.236742,-0.068352,0.24641179
8.472062,-27.348725,8.345965,-27.127773,8.617984,-26.865013,0.792670836,0.080755062,0.252588439,,,,,0.244245,-0.064384,0.252588439
9.263781,-27.387559,8.413988,-27.171296,8.862229,-26.929397,0.475297934,0.197507717,0.248001689,,,,,0.239736,-0.063494,0.248001689
8.807907,-27.253071,8.606912,-27.2136,9.101965,-26.992891,0.684770128,0.077351427,0.247772777,,,,,0.239719,-0.062659,0.247772777
9.402923,-27.59199,8.683477,-27.224602,9.341684,-27.05555,0.403589296,0.179277594,0.241057556,,,,,0.232076,-0.065188,0.241057556
9.620869,-27.931672,8.849152,-27.293102,9.57376,-27.120738,1.366103888,0.20979583,0.234835771,,,,,0.224859,-0.067722,0.234835771
10.984155,-28.019371,9.023155,-27.410308,9.798619,-27.18846,0.797381558,0.401246386,0.226985724,,,,,0.216193,-0.06916,0.226985724
10.653861,-27.293614,9.408159,-27.523315,10.014812,-27.25762,0.810578115,0.263362686,0.225538372,,,,,0.215262,-0.067304,0.225538372
11.24194,-27.851467,9.66918,-27.488273,10.230074,-27.324924,0.133512583,0.32705415,0.226047999,,,,,0.216477,-0.06508,0.226047999
11.284827,-27.977904,9.989049,-27.556451,10.446551,-27.390004,0.77416737,0.283373848,0.230440071,,,,,0.220781,-0.066018,0.230440071
10.87492,-28.634647,10.261418,-27.634655,10.667332,-27.456022,1.175494572,0.237096431,0.237135958,,,,,0.228972,-0.061687,0.237135958
11.772922,-27.876109,10.413096,-27.816887,10.896304,-27.517709,1.724808138,0.283141212,0.240076125,,,,,0.229428,-0.070706,0.240076125
12.478359,-29.45006,10.695752,-27.833456,11.125732,-27.588415,1.288215233,0.463330794,0.242802389,,,,,0.232207,-0.070943,0.242802389
12.565094,-28.164768,11.054831,-28.126266,11.357939,-27.659358,0.718302051,0.313358693,0.243209617,,,,,0.231435,-0.074758,0.243209617
11.847207,-28.140353,11.367781,-28.142265,11.589374,-27.734116,0.772149002,0.130776742,0.243063955,,,,,0.232786,-0.069934,0.243063955
11.493684,-27.453887,11.498338,-28.149843,11.82216,-27.80405,1.652180923,0.124427434,0.243061692,,,,,0.233848,-0.066288,0.243061692
12.940577,-28.25151,11.539984,-28.032592,12.056008,-27.870338,0.797395937,0.290743429,0.294123174,,,,,0.283975,-0.076594,0.294123174
12.22932,-28.612001,11.827701,-28.074433,12.339983,-27.946932,0.968936077,0.14863028,0.199192461,,,,,0.192208,-0.052285,0.199192461
13.195852,-28.680214,11.938956,-28.172989,12.532191,-27.999217,0.19955095,0.277631482,0.253842473,,,,,0.244281,-0.069013,0.253842473
13.324017,-28.527262,12.200131,-28.267153,12.776472,-28.06823,0.295184191,0.243797294,0.311751228,,,,,0.299366,-0.086999,0.311751228
13.084453,-28.354801,12.438524,-28.318201,13.075838,-28.155229,0.844101169,0.155564474,0.210968132,,,,,0.202879,-0.057859,0.210968132
13.474223,-29.103524,12.593668,-28.329631,13.278717,-28.213088,0.538215909,0.239035449,0.26520613,,,,,0.256041,-0.069118,0.26520613
13.441251,-28.566319,12.786229,-28.471258,13.534758,-28.282206,1.033121998,0.156584474,0.265285818,,,,,0.25726,-0.06476,0.265285818
14.393793,-28.966325,12.941113,-28.494272,13.792018,-28.346966,0.548239628,0.307691554,0.317924344,,,,,0.308952,-0.074997,0.317924344
14.455313,-28.421548,13.235574,-28.583529,14.10097,-28.421963,0.684140677,0.25563993,0.265632798,,,,,0.257792,-0.064063,0.265632798
14.550211,-29.099075,13.490175,-28.560505,14.358762,-28.486026,0.696909553,0.248011636,0.267891184,,,,,0.25934,-0.067145,0.267891184
15.227224,-29.264412,13.717021,-28.660758,14.618102,-28.553171,0.900779432,0.317071,0.216864982,,,,,0.209776,-0.054995,0.216864982
15.238408,-28.363702,14.01399,-28.771859,14.827878,-28.608166,1.310380008,0.273903276,0.274855846,,,,,0.266402,-0.067644,0.274855846
