gps_x,gps_y,ekf_x,ekf_y,gt_x,gt_y,GPS ?s,EKF ?s,GT ?s
0.95722,6.511431,0.682388,6.843312,1.034556,6.996407,0.825060534,0.075291169,0.130919926
1.372199,7.224535,0.7349,6.789356,1.165184,6.987669,0.428010564,0.136618199,0.145805081
1.612419,7.578777,0.853651,6.856904,1.310989,6.987515,0.065457561,0.186038548,0.15864284
1.677687,7.583755,0.995239,6.977582,1.469245,6.998587,0.812704129,0.169646253,0.165636616
2.100376,6.889621,1.127737,7.083526,1.634101,7.014649,0.530780381,0.188186794,0.165604543
1.680063,7.213758,1.313459,7.053168,1.799328,7.025825,0.194947731,0.084262275,0.161713444
1.522046,7.099586,1.392156,7.083283,1.961039,7.026714,0.760604241,0.043887904,0.158111742
2.212733,6.781042,1.435612,7.089425,2.119008,7.019997,1.068418104,0.16258346,0.157763204
3.273605,6.654283,1.589623,7.037329,2.276664,7.014182,1.555860526,0.318866824,0.163113769
1.879839,7.345744,1.901428,6.970593,2.439751,7.017137,1.015643644,0.068438798,0.174414797
2.870635,7.122461,1.918763,7.0368,2.613716,7.029655,0.414397067,0.192827625,0.188020409
3.284974,7.129398,2.110879,7.053351,2.801105,7.045051,0.717728658,0.230110473,0.19949347
3.104955,7.824184,2.34051,7.068198,3.000366,7.054679,0.878845848,0.209067453,0.206133015
3.523662,7.051491,2.499425,7.204048,3.206499,7.054601,0.120699284,0.206853137,0.207026702
3.407495,7.084256,2.704973,7.180848,3.413445,7.048821,1.351906048,0.150325055,0.20358997
4.702075,6.694753,2.854629,7.166681,3.617011,7.045697,1.478872531,0.362663081,0.199442226
3.331846,7.251113,3.208005,7.085134,3.816381,7.051064,1.157782473,0.059046259,0.198024434
4.484445,7.360547,3.258828,7.115192,4.013968,7.064219,1.359134664,0.248566644,0.201086599
4.740958,6.025838,3.503338,7.159916,4.214555,7.078385,1.169590223,0.318851896,0.209013927
4.65721,7.192426,3.751717,6.95998,4.423434,7.085894,1.212995784,0.194818701,0.220391494
4.289592,8.348374,3.942576,6.999059,4.643822,7.084653,1.876759846,0.255857899,0.231564186
5.445665,6.869955,4.034353,7.23789,4.875329,7.079507,0.705987691,0.286299876,0.238763805
4.741743,6.815988,4.313871,7.175944,5.114089,7.078159,0.725821553,0.12349623,0.240483492
5.445099,6.995173,4.42059,7.113796,5.354471,7.085145,0.883935938,0.212442779,0.237870516
5.503312,7.87719,4.63203,7.093179,5.591987,7.098127,0.430205231,0.231686166,0.233485106
5.931693,7.837614,4.816937,7.232778,5.825158,7.110234,0.923348254,0.253751018,0.230359038
5.849235,6.917955,5.045393,7.34322,6.055458,7.115449,0.76867496,0.188016439,0.231370814
6.615269,6.981619,5.219452,7.272131,6.286816,7.113014,0.384509053,0.283511987,0.237587372
6.392464,6.668242,5.498691,7.223094,6.524358,7.108371,1.067140456,0.215096295,0.24748308
7.441339,6.864838,5.690489,7.125729,6.771841,7.10857,0.459783271,0.3475057,0.258017044
6.981951,6.883899,6.034788,7.078629,7.029736,7.116505,0.874119337,0.207364219,0.265653108
6.92483,7.75615,6.238979,7.042491,7.295095,7.129002,0.789750333,0.201147646,0.267885649
7.580881,7.316488,6.396527,7.167547,7.562787,7.139186,0.948082357,0.246826499,0.265398798
8.512551,7.492133,6.641847,7.194776,7.828169,7.142172,1.113375607,0.372204854,0.261145818
7.547665,6.936615,7.010099,7.248877,8.089296,7.139037,1.049918056,0.144364993,0.25780908
8.304948,7.663836,7.144184,7.195375,8.34708,7.135441,1.005728507,0.251285293,0.257660198
9.30863,7.727963,7.381087,7.279168,8.604733,7.137367,0.587924859,0.385638369,0.262287419
8.739416,7.58082,7.75794,7.361014,8.866865,7.146395,0.69052225,0.227749641,0.270719978
8.865821,8.259674,7.981458,7.404713,9.137323,7.158302,0.709165519,0.242976383,0.279982753
9.571625,8.190707,8.168739,7.559514,9.417178,7.166759,1.023327645,0.318838272,0.287137472
9.814263,7.196561,8.463993,7.679859,9.704312,7.168171,0.212269112,0.290761638,0.290156483
9.904015,7.388922,8.744224,7.602316,9.994446,7.164559,0.926546067,0.24075953,0.288874123
9.742942,6.476484,8.982709,7.5693,10.283309,7.162024,1.550447109,0.263351939,0.28525783
10.514279,7.821447,9.165981,7.380182,10.568545,7.165553,1.087979862,0.282000336,0.281791011
11.558471,7.515893,9.436849,7.458634,10.850163,7.175426,0.404890567,0.425186993,0.280528639
11.154957,7.482534,9.861854,7.471073,11.130446,7.187163,0.884617595,0.274093525,0.283080521
11.61099,6.724522,10.135918,7.475096,11.413423,7.194818,0.716390318,0.333776561,0.289635169
11.377233,7.401702,10.44262,7.343412,11.703056,7.195939,1.011636212,0.211680579,0.298168042
12.182271,8.014337,10.654089,7.352874,12.001213,7.193373,1.124431754,0.337027084,0.305587656
11.885162,6.929868,10.970114,7.469987,12.3068,7.19274,0.360155153,0.228395141,0.309482281
12.2453,6.926353,11.178117,7.375652,12.616236,7.198092,1.458319731,0.24733068,0.309196902
13.317481,7.914849,11.412094,7.295482,12.925253,7.208638,0.513301922,0.39777625,0.30583121
13.512483,7.44003,11.794764,7.404062,13.230886,7.219647,1.094839128,0.351747048,0.301601097
14.590181,7.247054,12.146439,7.411181,13.532412,7.226377,1.378268121,0.48325517,0.299199504
13.240675,6.966953,12.62886,7.382799,13.831609,7.227601,0.748730117,0.176487068,0.30056598
13.989051,6.943928,12.789177,7.309001,14.132173,7.22651,0.601590898,0.270332249,0.295121368
14.408754,6.512928,13.051381,7.243209,14.427275,7.223129,0.758382981,0.318310402,0.300587113
14.889284,7.099644,13.341115,7.111392,14.72781,7.228726,1.345843697,0.323983111,0.301132679
16.187089,6.743277,13.66504,7.105256,15.02879,7.238314,0.526549914,0.502568538,0.294209541
16.050923,7.251916,14.163067,7.037845,15.322984,7.241338,0.377659264,0.390701557,0.29796333
16.287241,7.546501,14.552242,7.072349,15.620938,7.243696,0.444436402,0.372803507,0.285730947
15.915272,7.303267,14.915747,7.155093,15.906554,7.235592,0.74856878,0.234776378,0.279898935
16.303031,6.662956,15.14895,7.182228,16.186331,7.227331,0.693787369,0.274272129,0.26934732
16.561972,7.30661,15.407903,7.091848,16.45558,7.220054,0.396124335,0.260698809,0.261229926
16.388988,6.950252,15.665634,7.131073,16.716778,7.21597,0.574136786,0.182453728,0.257030671
16.909449,6.707861,15.845671,7.101475,16.973795,7.213319,0.572462271,0.247565394,0.256352025
16.871984,7.279096,16.083916,7.034185,17.230089,7.207865,1.124770079,0.193611967,0.257967104
17.949073,7.603113,16.272037,7.079968,17.487825,7.196948,0.958712841,0.357710491,0.259250706
18.57826,6.87975,16.616277,7.177208,17.746616,7.181516,1.951676856,0.399047757,0.257516938
18.346564,8.817625,17.012672,7.131272,18.003623,7.165318,1.773082006,0.410682265,0.252528639
18.879535,7.126542,17.288546,7.435498,18.255801,7.152015,0.115829833,0.342470987,0.249915803
18.76956,7.162902,17.628667,7.395447,18.505661,7.146734,0.685872741,0.243962768,0.248028507
18.97401,6.50821,17.870601,7.36405,18.753596,7.139924,1.688244743,0.288641617,0.246307986
19.253,8.173243,18.123655,7.225206,18.999838,7.134223,0.794865749,0.295423632,0.248393432
19.619175,7.467745,18.361839,7.399973,19.248121,7.126817,0.61283108,0.279168271,0.252952662
19.331061,6.926864,18.639744,7.426501,19.500675,7.112621,0.498531936,0.185547264,0.256940373
19.399268,7.420708,18.808839,7.350116,19.757532,7.106076,0.471116629,0.156169224,0.261087716
19.797962,7.169722,18.963096,7.37448,20.018617,7.104885,0.54645407,0.179015436,0.264345687
20.332097,7.285099,19.139737,7.34542,20.282852,7.112534,0.879077281,0.259348994,0.267104514
21.121167,7.672585,19.399085,7.346138,20.549661,7.125095,0.440877976,0.353026503,0.269220404
21.024394,7.242459,19.745536,7.413957,20.818612,7.137136,0.571523648,0.270356269,0.270545971
20.588125,7.611659,20.015185,7.394414,21.089014,7.145961,1.436429913,0.152415887,0.270963085
22.017132,7.757501,20.159628,7.443064,21.359877,7.153325,0.87411001,0.367124288,0.270686133
21.860725,6.897498,20.521072,7.507395,21.630362,7.163758,0.474496646,0.303653466,0.270820012
21.446301,6.666414,20.809522,7.412516,21.900626,7.181103,0.968915341,0.199531826,0.272883165
21.891009,7.527246,20.966153,7.288905,22.172383,7.205869,1.259721422,0.211506171,0.277359124
23.120328,7.252159,21.17197,7.337631,22.448184,7.235227,0.808070236,0.387117073,0.283057212
22.370481,7.553335,21.559008,7.329807,22.729612,7.265553,0.818296642,0.193295392,0.281895812
23.182371,7.451139,21.746617,7.376347,23.009754,7.296949,0.710441998,0.297996649,0.275998111
22.9908,8.135265,22.043898,7.396987,23.284574,7.322423,1.051723936,0.252750184,0.272731034
23.957294,8.550009,22.255045,7.53591,23.556058,7.348474,1.086247698,0.393567219,0.25778061
23.868312,7.467412,22.599661,7.726002,23.811749,7.38123,0.51274985,0.271332323,0.258244755
24.307636,7.203013,22.868932,7.69262,24.067684,7.415692,0.236504021,0.30941695,0.252105737
24.386804,7.425873,23.168746,7.616132,24.317,7.453093,0.856562647,0.262648255,0.254399215
24.623183,8.249174,23.430125,7.590342,24.568882,7.488792,0.775435806,0.285131619,0.25235861
24.166178,7.622718,23.686972,7.714155,24.818809,7.52374,1.253410428,0.129950112,0.2497888
25.208204,6.926141,23.816662,7.705937,25.066115,7.558871,0.696024621,0.318288383,0.243345368
25.301777,7.615847,24.106252,7.573857,25.306514,7.596624,1.126645707,0.25569401,0.235480171
25.855588,8.596981,24.36173,7.584365,25.538414,7.63753,0.533226414,0.358730916,0.228180517
25.338116,8.468322,24.670442,7.76708,25.762606,7.680007,1.200044678,0.208451113,0.223068596
25.042047,7.305373,24.833312,7.897177,25.981781,7.721503,1.929573989,0.122204286,0.220431581
26.932801,7.690477,24.904326,7.797724,26.198707,7.760659,0.66013952,0.407020656,0.219385061
26.732767,8.31958,25.311063,7.782531,26.41477,7.798693,0.134175486,0.310934236,0.218529829
26.606184,8.275085,25.606365,7.87988,26.629608,7.838692,0.463865495,0.224128955,0.216856746
27.062951,8.355925,25.818527,7.952137,26.841849,7.883196,0.931490648,0.281785149,0.213963127
27.985645,8.228212,26.090034,8.027548,27.050146,7.93211,0.662288653,0.382231359,0.209801988
27.406724,7.906534,26.470309,8.066171,27.253786,7.982584,0.99097627,0.204329549,0.204728699
27.6223,8.873778,26.672935,8.039841,27.452695,8.031051,0.162774398,0.258601206,0.19952204
27.697096,8.729206,26.884525,8.188516,27.6471,8.075948,0.551259034,0.210959336,0.1950148
28.159751,8.429478,27.071196,8.28679,27.837339,8.118842,0.648740346,0.24510173,0.191900484
27.913103,7.829454,27.314601,8.31558,28.024031,8.163248,0.972167033,0.170852673,0.190603109
