Bag      : rosbag_LintasanB_Run5_20260515_213856
GPS RMSE : 1.5811 m

   Q_pos    Q_vel    Q_yaw         RMSE
========================================
   1e-03    1e-04    1e-05       1.3175
   5e-04    1e-04    1e-05       1.3177
   1e-03    1e-04    1e-04       1.3182
   1e-03    1e-04    5e-04       1.3186
   5e-04    1e-04    1e-04       1.3186
   5e-04    1e-04    5e-04       1.3191
   1e-03    5e-05    1e-05       1.3196
   1e-03    5e-05    1e-04       1.3204
   1e-03    5e-05    5e-04       1.3208
   5e-04    5e-05    1e-05       1.3327
   5e-04    5e-05    1e-04       1.3339
   5e-04    5e-05    5e-04       1.3344
   5e-04    5e-04    1e-05       1.3389
   5e-04    5e-04    1e-04       1.3392
   5e-04    5e-04    5e-04       1.3395
   1e-03    5e-04    1e-05       1.3456
   1e-03    5e-04    1e-04       1.3458
   1e-03    5e-04    5e-04       1.3461
   5e-03    5e-05    1e-05       1.3500
   5e-03    5e-05    1e-04       1.3502
   5e-03    5e-05    5e-04       1.3504
   5e-03    1e-04    1e-05       1.3568
   5e-03    1e-04    1e-04       1.3570
   5e-03    1e-04    5e-04       1.3571
   5e-03    5e-04    1e-05       1.3828
   5e-03    5e-04    1e-04       1.3829
   5e-03    5e-04    5e-04       1.3831

Best:
  Q    = [0.001, 0.001, 0.0001, 0.0001, 1e-05, 1e-05]
  RMSE = 1.3175 m
