Bag      : rosbag_LintasanA_Run4_20260515_155109
GPS RMSE : 1.1890 m

   Q_pos    Q_vel    Q_yaw         RMSE
========================================
   5e-04    1e-04    5e-06       0.8550
   5e-04    1e-04    1e-05       0.8550
   5e-04    1e-04    1e-06       0.8568
   1e-03    5e-05    5e-06       0.8582
   1e-03    5e-05    1e-05       0.8584
   1e-03    1e-04    5e-06       0.8590
   1e-03    1e-04    1e-05       0.8590
   1e-03    5e-05    1e-06       0.8591
   1e-03    1e-04    1e-06       0.8601
   5e-04    5e-05    5e-06       0.8673
   5e-04    5e-05    1e-05       0.8674
   5e-04    5e-05    1e-06       0.8689
   5e-04    5e-04    1e-05       0.8906
   5e-04    5e-04    5e-06       0.8908
   5e-04    5e-04    1e-06       0.8924
   1e-03    5e-04    1e-05       0.8995
   1e-03    5e-04    5e-06       0.8997
   1e-03    5e-04    1e-06       0.9010
   5e-03    5e-05    5e-06       0.9070
   5e-03    5e-05    1e-05       0.9070
   5e-03    5e-05    1e-06       0.9071
   5e-03    1e-04    5e-06       0.9154
   5e-03    1e-04    1e-05       0.9155
   5e-03    1e-04    1e-06       0.9156
   5e-03    5e-04    1e-05       0.9478
   5e-03    5e-04    5e-06       0.9478
   5e-03    5e-04    1e-06       0.9483

Best:
  Q    = [0.0005, 0.0005, 0.0001, 0.0001, 5e-06, 5e-06]
  RMSE = 0.8550 m
