Bag      : rosbag_LintasanA_Run5_20260515_162218
GPS RMSE : 1.4832 m

   Q_pos    Q_vel    Q_yaw         RMSE
========================================
   1e-04    1e-04    1e-05       1.1537
   5e-05    1e-04    1e-05       1.1537
   1e-04    1e-04    1e-04       1.1545
   5e-05    1e-04    1e-04       1.1545
   5e-04    5e-05    1e-05       1.1547
   1e-04    1e-04    1e-06       1.1552
   5e-05    1e-04    1e-06       1.1553
   5e-04    5e-05    1e-06       1.1554
   5e-04    5e-05    1e-04       1.1554
   5e-04    1e-04    1e-05       1.1578
   5e-04    1e-04    1e-04       1.1584
   5e-04    1e-04    1e-06       1.1587
   1e-04    5e-05    1e-05       1.1668
   1e-04    5e-05    1e-04       1.1678
   1e-04    5e-05    1e-06       1.1682
   5e-05    5e-05    1e-05       1.1707
   5e-05    5e-05    1e-04       1.1718
   5e-05    5e-05    1e-06       1.1724
   5e-05    5e-04    1e-05       1.1966
   5e-05    5e-04    1e-04       1.1967
   1e-04    5e-04    1e-05       1.1976
   1e-04    5e-04    1e-04       1.1977
   5e-05    5e-04    1e-06       1.1979
   1e-04    5e-04    1e-06       1.1988
   5e-04    5e-04    1e-05       1.2048
   5e-04    5e-04    1e-04       1.2049
   5e-04    5e-04    1e-06       1.2058

Best:
  Q    = [0.0001, 0.0001, 0.0001, 0.0001, 1e-05, 1e-05]
  RMSE = 1.1537 m
