Bag      : rosbag_LintasanA_Run3_20260515_153827
GPS RMSE : 1.2570 m

   Q_pos    Q_vel    Q_yaw         RMSE
========================================
   5e-04    1e-04    1e-05       0.8461
   5e-04    1e-04    5e-06       0.8461
   5e-04    1e-04    1e-06       0.8475
   1e-03    5e-05    5e-06       0.8476
   1e-03    5e-05    1e-05       0.8476
   1e-03    5e-05    1e-06       0.8483
   1e-03    1e-04    1e-05       0.8533
   1e-03    1e-04    5e-06       0.8533
   1e-03    1e-04    1e-06       0.8542
   5e-04    5e-05    5e-06       0.8546
   5e-04    5e-05    1e-05       0.8546
   5e-04    5e-05    1e-06       0.8558
   5e-04    5e-04    1e-05       0.9002
   5e-04    5e-04    5e-06       0.9004
   5e-04    5e-04    1e-06       0.9017
   1e-03    5e-04    1e-05       0.9110
   1e-03    5e-04    5e-06       0.9112
   1e-03    5e-04    1e-06       0.9122
   5e-03    5e-05    5e-06       0.9144
   5e-03    5e-05    1e-05       0.9144
   5e-03    5e-05    1e-06       0.9145
   5e-03    1e-04    5e-06       0.9258
   5e-03    1e-04    1e-05       0.9258
   5e-03    1e-04    1e-06       0.9260
   5e-03    5e-04    1e-05       0.9675
   5e-03    5e-04    5e-06       0.9676
   5e-03    5e-04    1e-06       0.9680

Best:
  Q    = [0.0005, 0.0005, 0.0001, 0.0001, 1e-05, 1e-05]
  RMSE = 0.8461 m
