Bag      : rosbag_LintasanB_Run4_20260515_213230
GPS RMSE : 1.3303 m

   Q_pos    Q_vel    Q_yaw         RMSE
========================================
   1e-03    1e-04    1e-05       1.0619
   1e-03    1e-04    1e-04       1.0626
   1e-03    1e-04    5e-04       1.0630
   5e-04    1e-04    1e-05       1.0700
   5e-04    1e-04    1e-04       1.0709
   5e-04    1e-04    5e-04       1.0714
   1e-03    5e-05    1e-05       1.0727
   5e-04    5e-04    1e-05       1.0731
   5e-04    5e-04    1e-04       1.0731
   5e-04    5e-04    5e-04       1.0735
   1e-03    5e-05    1e-04       1.0735
   1e-03    5e-05    5e-04       1.0739
   1e-03    5e-04    1e-05       1.0787
   1e-03    5e-04    1e-04       1.0788
   1e-03    5e-04    5e-04       1.0791
   5e-03    5e-05    1e-05       1.0827
   5e-03    5e-05    1e-04       1.0829
   5e-03    5e-05    5e-04       1.0830
   5e-03    1e-04    1e-05       1.0889
   5e-03    1e-04    1e-04       1.0891
   5e-03    1e-04    5e-04       1.0892
   5e-04    5e-05    1e-05       1.1000
   5e-04    5e-05    1e-04       1.1011
   5e-04    5e-05    5e-04       1.1017
   5e-03    5e-04    1e-04       1.1148
   5e-03    5e-04    1e-05       1.1148
   5e-03    5e-04    5e-04       1.1149

Best:
  Q    = [0.001, 0.001, 0.0001, 0.0001, 1e-05, 1e-05]
  RMSE = 1.0619 m
