Bag      : rosbag_LintasanB_Run3_20260515_212406
GPS RMSE : 1.3814 m

   Q_pos    Q_vel    Q_yaw         RMSE
========================================
   1e-03    1e-04    5e-06       1.1168
   1e-03    1e-04    1e-05       1.1169
   1e-03    1e-04    1e-06       1.1175
   5e-04    1e-04    5e-06       1.1255
   5e-04    1e-04    1e-05       1.1256
   1e-03    5e-05    5e-06       1.1261
   1e-03    5e-05    1e-05       1.1263
   1e-03    5e-05    1e-06       1.1264
   5e-04    1e-04    1e-06       1.1267
   5e-04    5e-04    1e-05       1.1299
   5e-04    5e-04    5e-06       1.1302
   5e-04    5e-04    1e-06       1.1318
   1e-03    5e-04    1e-05       1.1353
   1e-03    5e-04    5e-06       1.1355
   1e-03    5e-04    1e-06       1.1368
   5e-03    5e-05    1e-06       1.1373
   5e-03    5e-05    5e-06       1.1373
   5e-03    5e-05    1e-05       1.1374
   5e-03    1e-04    5e-06       1.1439
   5e-03    1e-04    1e-05       1.1440
   5e-03    1e-04    1e-06       1.1440
   5e-04    5e-05    5e-06       1.1538
   5e-04    5e-05    1e-05       1.1541
   5e-04    5e-05    1e-06       1.1546
   5e-03    5e-04    1e-05       1.1708
   5e-03    5e-04    5e-06       1.1708
   5e-03    5e-04    1e-06       1.1712

Best:
  Q    = [0.001, 0.001, 0.0001, 0.0001, 5e-06, 5e-06]
  RMSE = 1.1168 m
