Bag      : rosbag_LintasanB_Run1_20260515_202357
GPS RMSE : 1.9012 m

   Q_pos    Q_vel    Q_yaw         RMSE
========================================
   5e-04    1e-04    5e-06       1.6512
   5e-04    1e-04    1e-05       1.6513
   5e-04    1e-04    1e-06       1.6516
   1e-03    5e-05    5e-06       1.6525
   1e-03    5e-05    1e-06       1.6525
   1e-03    5e-05    1e-05       1.6526
   1e-03    1e-04    5e-06       1.6541
   1e-03    1e-04    1e-05       1.6542
   1e-03    1e-04    1e-06       1.6543
   5e-04    5e-05    5e-06       1.6565
   5e-04    5e-05    1e-06       1.6567
   5e-04    5e-05    1e-05       1.6568
   5e-04    5e-04    1e-05       1.6739
   5e-04    5e-04    5e-06       1.6740
   5e-04    5e-04    1e-06       1.6748
   1e-03    5e-04    1e-05       1.6793
   1e-03    5e-04    5e-06       1.6794
   1e-03    5e-04    1e-06       1.6800
   5e-03    5e-05    1e-06       1.6833
   5e-03    5e-05    5e-06       1.6834
   5e-03    5e-05    1e-05       1.6834
   5e-03    1e-04    5e-06       1.6887
   5e-03    1e-04    1e-06       1.6887
   5e-03    1e-04    1e-05       1.6887
   5e-03    5e-04    1e-05       1.7085
   5e-03    5e-04    5e-06       1.7085
   5e-03    5e-04    1e-06       1.7087

Best:
  Q    = [0.0005, 0.0005, 0.0001, 0.0001, 5e-06, 5e-06]
  RMSE = 1.6512 m
