Bag      : rosbag_LintasanA_Run2_20260515_150041
GPS RMSE : 0.9680 m

   Q_pos    Q_vel    Q_yaw         RMSE
========================================
   1e-03    5e-05    5e-06       0.4667
   1e-03    5e-05    1e-05       0.4670
   1e-03    5e-05    1e-06       0.4671
   5e-04    1e-04    5e-06       0.4675
   5e-04    1e-04    1e-05       0.4677
   5e-04    1e-04    1e-06       0.4689
   5e-04    5e-05    5e-06       0.4693
   5e-04    5e-05    1e-05       0.4696
   5e-04    5e-05    1e-06       0.4705
   1e-03    1e-04    5e-06       0.4822
   1e-03    1e-04    1e-05       0.4824
   1e-03    1e-04    1e-06       0.4828
   5e-04    5e-04    1e-05       0.5597
   5e-04    5e-04    5e-06       0.5598
   5e-04    5e-04    1e-06       0.5610
   1e-03    5e-04    1e-05       0.5746
   1e-03    5e-04    5e-06       0.5746
   1e-03    5e-04    1e-06       0.5755
   5e-03    5e-05    1e-06       0.5771
   5e-03    5e-05    5e-06       0.5772
   5e-03    5e-05    1e-05       0.5773
   5e-03    1e-04    1e-06       0.5932
   5e-03    1e-04    5e-06       0.5933
   5e-03    1e-04    1e-05       0.5934
   5e-03    5e-04    5e-06       0.6502
   5e-03    5e-04    1e-05       0.6502
   5e-03    5e-04    1e-06       0.6503

Best:
  Q    = [0.001, 0.001, 5e-05, 5e-05, 5e-06, 5e-06]
  RMSE = 0.4667 m
